proxyWallet,asset,conditionId,size,avgPrice,initialValue,currentValue,cashPnl,percentPnl,totalBought,realizedPnl,percentRealizedPnl,curPrice,redeemable,mergeable,title,slug,icon,eventId,eventSlug,outcome,outcomeIndex,oppositeOutcome,oppositeAsset,endDate,negativeRisk,is_weather,resolved
0xb40e89677d59665d5188541ad860450a6e2a7cc9,90674328240412174097194089659039944010231367517658423129489865384766970692866,0x0a6f5652484da6e22602452c6b7319170897eed7a8c73b4d2a28b6922f95be26,89.9781,0.4597,41.3716,32.842,-8.5296,-20.6169,89.9781,0.0,-20.6172,0.365,False,True,Will the highest temperature in Los Angeles be between 80-81°F on July 23?,highest-temperature-in-los-angeles-on-july-23-2026-80-81f,https://polymarket-upload.s3.us-east-2.amazonaws.com/los-angeles-cdae9380c7.jpg,731117,highest-temperature-in-los-angeles-on-july-23-2026,Yes,0,No,107716940160940160789806897137867256815704625399307268076361551186128187677172,2026-07-23,True,True,False
0xb40e89677d59665d5188541ad860450a6e2a7cc9,75859192461519345383952502672752171395214326395510796428882767007207847512256,0xba9afe5bfe7fd1982cc422b9daf2c8cfef2f94f0da8230a0a24e1a49dc0f3f65,89.0638,0.8759,78.0164,86.9263,8.9098,11.4204,89.0638,0.0,11.4204,0.976,False,True,Will the highest temperature in Seattle be between 96-97°F on July 22?,highest-temperature-in-seattle-on-july-22-2026-96-97f,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-seattle-on-december-5-mjogoGN44OY4.jpg,727273,highest-temperature-in-seattle-on-july-22-2026,No,1,Yes,16601095150270165173306329846242443816984428086291346567186947291455514927996,2026-07-22,True,True,False
0xb40e89677d59665d5188541ad860450a6e2a7cc9,58016398863438746255224061027041845226891731629886166141216023897202614536423,0x64b1883d299d6661999abb097ad68379cef8a5f10a8f4ef6bbc3ae91116dadaf,88.14,0.8189,72.1785,88.0959,15.9173,22.0526,88.14,0.0,22.0527,0.9995,False,True,Will the highest temperature in Dallas be between 102-103°F on July 22?,highest-temperature-in-dallas-on-july-22-2026-102-103f,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-dallas-on-december-5-m1XZuVxmKEs_.jpg,727275,highest-temperature-in-dallas-on-july-22-2026,No,1,Yes,48981486969029904210267730001875740676086078165877252433669886173686694473545,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,24956017824504953649818052469963274630994901799797580051216216487346036742190,0x898c96c1bb4244bd88f7488cc03fb4ba7a5030a488e80b6379547b470460b125,87.5503,0.2459,21.5287,0.0,-21.5287,-99.9999,242.2211,39.3016,-100.0,0.0,True,False,Will the highest temperature in Taipei be 34°C on July 7?,highest-temperature-in-taipei-on-july-7-2026-34c,https://polymarket-upload.s3.us-east-2.amazonaws.com/taipei-06ae1cc294.jpg,668429,highest-temperature-in-taipei-on-july-7-2026,Yes,0,No,101449279011252848322896027111779216746163888066378163431117711336321169463061,2026-07-07,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,25298353777202374899757945400715953374933244287006865512359517806700509808921,0xa97733ab6c6f15a531112450dfeab663ee94335981f4c9941cc675d8157bd95c,86.3349,0.4549,39.2807,42.7358,3.455,8.7956,86.3349,0.0,8.7956,0.495,False,True,Will the highest temperature in Seoul be 27°C on July 23?,highest-temperature-in-seoul-on-july-23-2026-27c,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-seoul-on-december-6-WzqtMeHg43n4.jpg,727797,highest-temperature-in-seoul-on-july-23-2026,Yes,0,No,22102028629608173823762150004017450573924579974394729336571621209853303052810,2026-07-23,True,True,False
0xb40e89677d59665d5188541ad860450a6e2a7cc9,47920761005770657940717260598300852868308806037204982591325925438807244745966,0xd28ce1d16a70af76393d6d3218994ce2b1dcd920595a64dc18a675037bede173,86.3167,0.457,39.4535,37.5478,-1.9057,-4.8302,86.3167,0.0,-4.8304,0.435,False,True,Will the highest temperature in Hong Kong be 33°C on July 23?,highest-temperature-in-hong-kong-on-july-23-2026-33c,https://polymarket-upload.s3.us-east-2.amazonaws.com/hongkong-ae9cc75f37.jpg,727803,highest-temperature-in-hong-kong-on-july-23-2026,Yes,0,No,32136524188747151496621276275424124697387762749904139457798356064837892320288,2026-07-23,True,True,False
0xb40e89677d59665d5188541ad860450a6e2a7cc9,6726033116933477545276680921124985415368369428599956711178609234738337336198,0xe799cadfd8fcfb11f2922e6226c0c244d37601b7a29d4b2e2527aca542420b38,85.6471,0.2152,18.4338,0.0,-18.4338,-99.9997,469.1337,109.2054,-100.0,0.0,True,False,Will the highest temperature in Seoul be 27°C on July 7?,highest-temperature-in-seoul-on-july-7-2026-27c,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-seoul-on-december-6-WzqtMeHg43n4.jpg,668417,highest-temperature-in-seoul-on-july-7-2026,Yes,0,No,36287931381995563650321553985822869209903873181376375164766230158089029818830,2026-07-07,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,46861689285856535561280347850352161221414631756424687363346687099326009374055,0xf50d7d1bb0a0a8907e7fd5203773f26728388bc4e0f3120862680d640de30996,85.1635,0.2166,18.4531,0.3406,-18.1125,-98.1539,85.1635,0.0,-98.1542,0.004,False,True,Will the highest temperature in Mexico City be 28°C on July 22?,highest-temperature-in-mexico-city-on-july-22-2026-28c,https://polymarket-upload.s3.us-east-2.amazonaws.com/mexico-city-e64e24d13b.jpg,727284,highest-temperature-in-mexico-city-on-july-22-2026,Yes,0,No,65991671028450278472358569564733781686375026975507352047055966323551272589563,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,105623185534883427110773900782838116102713277585453038993211012798127947948133,0x58ab485e0005bebd1e8d464628d476d81cd3c731a3a1f132b288c6c8276eaac5,84.6665,0.3677,31.1357,0.0,-31.1357,-99.9997,278.2165,1.2757,-100.0,0.0,True,False,Will the highest temperature in Jeddah be 38°C on July 7?,highest-temperature-in-jeddah-on-july-7-2026-38c,https://polymarket-upload.s3.us-east-2.amazonaws.com/jeddah-43fa85fbaf.jpg,668441,highest-temperature-in-jeddah-on-july-7-2026,No,1,Yes,8404910844551866091216211150978439357038213547708280386356043305202192739857,2026-07-07,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,51000976280780652009630673839182766131963768588782339753624349352696440477519,0x1fe77737db101498bcb84bf9bb0bd69ceef8ccfd6510c000cb02ea4dc333899c,84.5818,0.4409,37.2923,84.5395,47.2471,126.6936,84.5818,0.0,126.6937,0.9995,False,True,Will the highest temperature in Buenos Aires be 14°C on July 22?,highest-temperature-in-buenos-aires-on-july-22-2026-14c,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-highest-temperature-in-buenos-aires-be-32-c-or-higher-on-december-6-etNh-JFGhdrt.jpg,727264,highest-temperature-in-buenos-aires-on-july-22-2026,No,1,Yes,71214231885167977617198690013798290444147677150600653825983670522556896933569,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,61396794110300264709928064138534512234236055481739473127470869529327348151801,0xfd1a0f5469fa051e9f5f605e8964c490e48b5b4c60a6680274549085019bb9a5,84.2668,0.3378,28.466,0.0421,-28.4239,-99.8517,84.2668,0.0,-99.8521,0.0005,False,True,Will the highest temperature in Denver be 94°F or higher on July 22?,highest-temperature-in-denver-on-july-22-2026-94forhigher,https://polymarket-upload.s3.us-east-2.amazonaws.com/denver-c2951e9cad.jpg,727280,highest-temperature-in-denver-on-july-22-2026,No,1,Yes,69098168475651430830906371015149352218089786240057643216865694802829340122747,2026-07-22,True,True,True
