wallets,n_wallets,bet_size,peak_concurrent,peak_capital,fits_bankroll,total_trades,active_weeks,timespan_weeks,weekly_mean,weekly_time_avg,weekly_median,weekly_p25,weekly_p75,weekly_min,weekly_max,pct_profitable_weeks,total_pnl
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",2,40,50,2000,True,882,31,97.3,433.62,138.17,193.24,-46.22,786.04,-591.19,2651.13,61.3,13442.37
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",2,100,12,1200,True,824,31,30.0,219.49,226.81,19.19,-409.1,620.03,-1188.63,3001.2,54.8,6804.29
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",2,100,13,1300,True,490,40,58.3,276.16,189.52,-9.65,-255.75,721.03,-1017.69,2624.77,47.5,11046.5
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf')",2,25,74,1850,True,898,26,71.4,62.62,22.79,9.83,-64.38,181.14,-1082.7,711.66,53.8,1628.12
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x412fe1a101554f0b382181c3af932e4b2d8030fa')",2,65,30,1950,True,661,31,30.0,432.76,447.19,244.37,-6.65,757.12,-844.35,2752.08,71.0,13415.62
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",2,60,31,1860,True,1804,26,24.9,287.31,300.52,-223.56,-490.49,855.61,-2451.06,4156.78,42.3,7469.95
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",2,35,52,1820,True,382,38,70.7,190.15,102.18,71.09,-3.87,332.36,-251.68,1326.18,71.1,7225.56
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",2,65,30,1950,True,1005,36,94.0,625.04,239.38,195.22,-38.02,933.88,-1877.38,5939.81,69.4,22501.39
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",2,35,53,1855,True,801,26,97.3,512.56,136.98,328.41,-8.65,819.74,-866.75,2385.68,69.2,13326.52
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",2,65,30,1950,True,743,27,26.1,271.41,280.31,164.77,-203.64,710.35,-1421.61,2490.6,59.3,7328.19
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",2,60,33,1980,True,409,39,58.3,238.71,159.73,-5.36,-124.36,477.24,-431.45,2072.56,48.7,9309.81
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x412fe1a101554f0b382181c3af932e4b2d8030fa')",2,25,74,1850,True,1169,32,71.4,83.05,37.21,87.55,-107.51,239.2,-1133.75,976.01,59.4,2657.71
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",2,25,74,1850,True,2312,23,72.3,26.54,8.44,-11.57,-299.64,410.68,-1514.37,1308.97,47.8,610.33
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",2,25,78,1950,True,890,34,71.4,78.21,37.23,67.14,11.7,237.4,-1370.3,662.15,76.5,2658.97
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",2,25,74,1850,True,1513,37,94.4,166.28,65.15,41.7,-67.99,337.84,-999.35,2094.88,59.5,6152.23
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",2,25,74,1850,True,1309,31,97.3,226.35,72.13,113.59,-87.24,492.89,-1205.43,1715.15,58.1,7016.8
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",2,25,74,1850,True,1251,28,72.4,11.3,4.37,-20.6,-125.26,184.01,-999.32,811.94,46.4,316.39
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",2,25,79,1975,True,917,39,72.1,35.31,19.09,32.38,-78.21,185.12,-1272.58,878.31,51.3,1376.94
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",2,70,28,1960,True,2075,32,30.9,362.43,375.85,207.9,-330.81,838.62,-2579.95,4467.88,53.1,11597.78
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",2,80,24,1920,True,653,40,71.0,495.26,279.02,292.33,111.28,771.81,-573.11,3224.5,90.0,19810.25
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",2,70,28,1960,True,1276,37,94.4,732.84,287.15,431.45,-43.46,990.79,-2128.25,6284.14,73.0,27115.1
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",2,35,51,1785,True,1072,35,97.3,421.94,151.8,177.31,-8.2,666.12,-808.79,2579.99,71.4,14767.94
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",2,100,8,800,True,1014,32,30.9,481.02,498.83,321.41,-213.12,770.09,-2021.5,4372.64,59.4,15392.48
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",2,100,17,1700,True,680,40,58.3,490.87,336.87,135.41,-127.55,813.13,-845.32,3613.53,60.0,19634.7
"('0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",2,70,28,1960,True,1796,37,71.7,313.55,161.77,207.32,-145.57,777.02,-2893.06,3738.07,67.6,11601.32
"('0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",2,65,29,1885,True,2419,37,95.3,536.63,208.37,201.69,-206.09,929.01,-2674.83,5549.23,62.2,19855.13
"('0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",2,40,49,1960,True,2215,30,97.3,453.39,139.81,208.34,-301.21,1115.69,-1071.59,2814.22,53.3,13601.85
"('0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",2,85,23,1955,True,2157,27,26.1,226.76,234.2,48.68,-828.03,1043.65,-3908.97,4439.87,55.6,6122.53
"('0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",2,80,25,2000,True,1823,38,58.6,240.95,156.32,-26.77,-312.27,498.32,-2289.38,4193.53,39.5,9156.16
"('0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",2,65,30,1950,True,997,46,94.3,547.43,267.08,152.53,-49.19,903.62,-1730.92,6041.81,71.7,25181.59
