wallets,n_wallets,bet_size,peak_concurrent,peak_capital,fits_bankroll,total_trades,active_weeks,timespan_weeks,weekly_mean,weekly_time_avg,weekly_median,weekly_p25,weekly_p75,weekly_min,weekly_max,pct_profitable_weeks,total_pnl
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,35,51,1785,True,2681,35,97.3,463.83,166.87,217.96,-152.86,979.26,-1063.01,2641.57,57.1,16234.22
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,70,28,1960,True,2623,32,30.9,428.35,444.22,87.95,-301.03,1119.51,-2906.04,4459.13,50.0,13707.3
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,25,74,1850,True,2778,33,72.3,112.27,51.26,93.99,-179.1,357.31,-1442.69,1595.67,54.5,3705.05
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,80,24,1920,True,929,41,71.3,557.14,320.44,282.97,115.55,879.89,-794.42,3224.5,85.4,22842.79
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,70,28,1960,True,867,47,71.6,476.87,313.16,247.6,9.09,726.93,-449.0,2464.52,74.5,22413.04
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,35,51,1785,True,1259,43,97.3,444.24,196.35,142.11,44.67,704.97,-570.03,2579.99,86.0,19102.32
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,80,24,1920,True,1201,41,71.9,541.98,309.24,287.61,58.59,930.52,-1071.45,3423.88,78.0,22221.13
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,25,78,1950,True,1356,40,71.4,143.84,80.55,91.35,27.65,289.33,-1298.63,952.81,80.0,5753.69
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,100,17,1700,True,956,40,58.3,585.63,401.91,438.1,-108.72,1092.98,-1293.33,3613.53,57.5,23425.38
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",3,35,52,1820,True,1348,35,97.3,459.85,165.44,311.29,-8.2,765.33,-712.98,2498.52,71.4,16094.68
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,100,12,1200,True,1290,32,30.9,599.47,621.68,309.28,-262.2,1230.92,-1747.76,4372.64,59.4,19183.16
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x412fe1a101554f0b382181c3af932e4b2d8030fa')",3,25,74,1850,True,1445,33,71.7,109.25,50.27,69.51,-103.15,267.84,-1012.98,1136.49,60.6,3605.38
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,35,51,1785,True,1286,42,97.3,412.08,177.9,159.75,-23.29,599.91,-726.84,3153.74,61.9,17307.48
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,100,17,1700,True,1228,40,58.6,566.21,386.68,199.53,-268.32,874.64,-1787.37,5384.07,55.0,22648.3
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,25,79,1975,True,1383,41,72.1,109.06,61.98,7.88,-95.2,228.45,-1200.91,958.91,51.2,4471.66
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,35,54,1890,True,1620,35,97.4,452.08,162.4,202.24,-50.94,620.88,-1320.63,3711.87,65.7,15822.7
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",3,25,74,1850,True,1775,36,97.3,280.88,103.94,204.43,-103.82,511.45,-1133.75,1842.85,58.3,10111.52
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,25,74,1850,True,1717,33,72.4,103.37,47.1,24.83,-123.28,283.58,-927.65,1046.79,51.5,3411.11
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,35,55,1925,True,1738,69,103.3,461.67,308.42,126.44,-46.88,580.62,-1010.9,6799.92,63.8,31854.95
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,35,56,1960,True,2537,65,104.6,370.71,230.43,68.99,-141.15,495.71,-1496.75,6326.94,53.8,24096.29
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,25,77,1925,True,1115,73,103.6,263.84,185.96,64.08,-33.49,289.63,-235.04,4519.24,63.0,19260.27
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x39d3c773be30fcc73161fc6768f46d563a779ef0')",3,35,55,1925,True,1204,69,104.0,347.2,230.35,86.42,-94.67,340.9,-373.19,6245.47,56.5,23956.75
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,30,58,1740,True,1142,78,104.4,276.59,206.59,39.0,-60.44,273.91,-282.04,5914.88,52.6,21573.89
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",3,35,55,1925,True,1534,66,104.6,500.99,316.2,160.38,-39.33,706.02,-867.9,8728.14,62.1,33065.34
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,35,55,1925,True,1476,66,104.7,358.86,226.18,75.87,-74.51,355.75,-766.63,7458.82,57.6,23684.77
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf')",3,25,77,1925,True,1631,64,103.7,245.74,151.64,58.92,-57.21,345.15,-1082.7,4519.24,59.4,15727.28
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,45,41,1845,True,3152,70,104.6,558.92,374.14,212.05,-116.08,733.61,-1937.91,8762.7,62.9,39124.34
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,35,53,1855,True,1730,74,103.6,449.97,321.5,127.62,-52.43,580.24,-932.03,6815.44,64.9,33298.14
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,50,37,1850,True,1819,70,104.0,618.17,416.08,227.04,-118.17,683.57,-1977.27,9619.96,60.0,43272.14
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,50,37,1850,True,1757,78,104.4,576.98,430.96,118.87,-74.9,599.13,-1372.3,10555.99,59.0,45004.71
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,30,59,1770,True,2149,70,104.6,482.44,322.94,147.98,-53.34,592.04,-866.48,7899.98,64.3,33770.65
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,50,37,1850,True,2091,69,104.7,621.5,409.53,223.33,-102.55,760.5,-1444.14,11353.32,63.8,42883.6
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,25,77,1925,True,2246,69,103.7,293.5,195.26,115.26,-47.75,414.73,-999.35,4868.17,62.3,20251.39
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,35,54,1890,True,2529,72,104.6,354.71,244.23,108.63,-73.27,441.18,-1513.5,6342.46,62.5,25539.48
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,50,39,1950,True,2618,70,104.6,459.83,307.81,114.09,-195.41,665.13,-2217.95,8944.27,57.1,32188.34
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,45,44,1980,True,2556,77,104.6,396.48,291.94,55.25,-134.04,398.6,-1373.89,8892.27,50.6,30528.82
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,40,49,1960,True,2948,67,104.6,539.71,345.8,182.17,-126.32,865.2,-1148.13,9992.76,58.2,36160.5
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,50,39,1950,True,2890,66,104.7,481.82,303.68,111.01,-156.46,623.75,-2395.07,10677.63,57.6,31799.8
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,25,77,1925,True,3045,62,104.6,237.25,140.66,114.64,-78.23,469.7,-1514.37,4530.33,58.1,14709.49
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,40,49,1960,True,1196,74,104.0,392.28,279.12,108.61,-66.32,425.98,-376.06,7155.42,63.5,29028.49
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,35,51,1785,True,1134,80,104.4,332.66,254.84,91.9,-41.4,323.48,-329.05,6916.21,60.0,26612.73
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,40,49,1960,True,1526,74,104.6,532.95,377.14,170.97,-44.95,684.26,-429.13,9992.76,67.6,39438.32
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,40,49,1960,True,1468,75,104.7,382.9,274.25,90.13,-61.81,350.0,-376.06,8542.11,61.3,28717.66
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,20,81,1620,True,1623,71,103.7,188.82,129.26,65.61,-24.7,237.94,-1096.24,3624.26,63.4,13406.5
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,50,37,1850,True,1223,79,104.4,426.86,322.92,98.56,-112.53,444.34,-588.42,9763.92,53.2,33721.56
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",3,40,50,2000,True,1615,70,104.6,514.3,344.27,183.29,-53.37,672.08,-592.5,9899.65,62.9,36001.02
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,50,37,1850,True,1557,70,104.7,451.44,301.78,83.58,-158.06,491.37,-595.96,10561.25,55.7,31600.45
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf')",3,25,77,1925,True,1712,70,104.0,208.71,140.48,51.03,-75.64,219.2,-1084.65,4472.14,55.7,14609.82
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,35,51,1785,True,1553,77,104.6,424.85,312.84,50.29,-66.69,482.83,-532.3,9317.42,55.8,32713.69
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,50,37,1850,True,1495,78,104.7,427.35,318.32,70.22,-93.66,383.96,-615.77,11497.28,53.8,33333.02
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,20,82,1640,True,1650,77,104.4,160.79,118.56,39.43,-29.73,177.16,-1018.07,3952.12,57.1,12380.88
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,35,52,1820,True,1887,66,104.7,473.17,298.23,136.59,-65.56,609.26,-1126.09,9875.55,63.6,31228.91
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",3,25,77,1925,True,2042,67,104.6,315.16,201.93,114.02,-48.74,488.92,-1205.43,6245.47,61.2,21115.96
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,25,77,1925,True,1984,66,104.7,218.42,137.67,41.79,-70.34,228.74,-999.32,5338.82,54.5,14415.55
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,60,31,1860,True,2614,37,95.3,629.3,244.36,117.0,-448.58,1179.41,-2440.37,5188.94,62.2,23284.14
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,35,52,1820,True,1192,46,94.3,357.62,174.48,106.83,13.63,548.69,-932.03,3292.12,78.3,16450.51
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,65,30,1950,True,1281,37,94.7,674.74,263.59,206.91,-62.28,1168.89,-2570.45,6470.55,64.9,24965.33
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,60,33,1980,True,1219,46,95.0,546.17,264.46,59.65,-129.46,903.12,-1646.76,5527.93,52.2,25124.0
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,30,60,1800,True,1611,39,97.3,495.64,198.69,122.61,-21.28,700.69,-866.48,3686.62,64.1,19329.83
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,65,30,1950,True,1553,37,95.3,661.09,256.7,290.33,-116.94,1040.46,-1877.38,5412.86,67.6,24460.23
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,25,74,1850,True,1708,37,94.4,222.09,87.02,142.35,-27.21,410.7,-876.63,2122.62,70.3,8217.37
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,35,53,1855,True,1991,41,71.7,212.0,121.2,97.38,-203.91,388.51,-1429.78,2461.27,63.4,8691.85
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,60,31,1860,True,2080,31,29.9,314.33,326.37,-157.07,-400.8,1090.86,-2518.02,4058.81,45.2,9744.36
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,55,34,1870,True,2018,39,58.6,277.9,185.04,-19.88,-238.3,471.88,-1547.63,3469.02,41.0,10838.15
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,35,53,1855,True,2410,30,97.3,493.09,152.06,205.43,-239.57,992.95,-1120.97,2583.81,53.3,14792.81
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,60,31,1860,True,2352,27,26.1,343.63,354.9,211.32,-514.49,929.66,-2730.56,4149.28,55.6,9278.11
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,25,74,1850,True,2507,27,72.3,99.09,37.01,-11.09,-247.85,426.49,-1391.64,1731.99,48.1,2675.47
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,35,52,1820,True,658,39,71.3,219.29,119.97,103.66,-1.14,374.73,-338.05,1291.45,74.4,8552.3
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,35,55,1925,True,596,47,71.6,207.77,136.44,97.38,-21.79,368.38,-251.68,1348.57,63.8,9765.1
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,35,53,1855,True,988,41,97.3,430.75,181.54,123.8,6.22,787.73,-627.98,2385.68,75.6,17660.9
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,35,52,1820,True,930,41,71.9,201.96,115.23,99.74,-42.51,349.76,-526.71,1394.09,70.7,8280.32
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,25,78,1950,True,1085,40,71.4,118.1,66.14,71.8,-3.62,280.83,-1247.58,698.05,72.5,4724.11
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,60,33,1980,True,685,40,58.3,289.61,198.75,-5.79,-134.32,642.35,-579.52,2013.01,47.5,11584.22
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",3,35,53,1855,True,1077,32,97.3,457.91,150.62,332.76,-12.76,753.37,-770.94,2304.22,65.6,14653.26
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,65,30,1950,True,1019,31,30.0,315.88,326.4,170.61,-273.9,863.39,-1243.67,2426.08,54.8,9792.14
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf')",3,25,74,1850,True,1174,32,71.7,80.49,35.92,27.0,-95.66,210.36,-961.93,889.25,50.0,2575.79
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,35,53,1855,True,1015,42,97.3,377.76,163.09,63.4,-29.92,546.58,-784.8,2959.44,54.8,15866.06
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,60,33,1980,True,957,40,58.6,277.95,189.82,26.42,-88.4,499.31,-1171.77,2897.35,52.5,11117.98
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,25,79,1975,True,1112,40,72.1,86.05,47.71,10.22,-73.09,231.4,-1149.86,878.31,50.0,3442.08
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,35,54,1890,True,1349,30,97.4,479.38,147.61,254.75,-14.36,743.75,-1378.58,3517.57,66.7,14381.28
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",3,25,74,1850,True,1504,31,97.3,292.97,93.35,182.91,-29.82,569.22,-1082.7,1704.06,64.5,9081.93
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,25,74,1850,True,1446,28,72.4,85.05,32.88,43.18,-103.2,327.32,-876.6,799.55,60.7,2381.52
"('0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,60,31,1860,True,2606,47,95.3,548.05,270.33,212.23,-75.27,987.53,-2469.07,5283.09,70.2,25758.17
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,65,29,1885,True,2695,37,95.3,603.22,234.23,261.8,-229.8,1330.47,-2747.38,6079.97,62.2,22319.07
"('0x5c6940cefe1dc0cbcc859b62997cc749baa751ca', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,65,30,1950,True,2633,46,95.3,534.16,257.87,64.62,-172.39,840.68,-1848.54,5598.0,54.3,24571.41
"('0x567464a8b6b5794c43282c4a9274e12b48ba8b14', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,30,59,1770,True,3025,39,97.3,464.32,186.14,108.37,-173.87,923.72,-866.48,3841.33,56.4,18108.48
"('0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,65,29,1885,True,2967,37,95.3,589.57,228.93,290.33,-319.91,1049.75,-2977.63,5022.27,64.9,21813.97
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,25,74,1850,True,3122,38,95.3,189.46,75.56,76.94,-76.45,470.72,-1308.3,1972.39,63.2,7199.58
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,65,30,1950,True,1273,47,94.7,588.2,291.88,180.86,-60.64,848.98,-2423.99,6572.55,68.1,27645.53
