train_time_avg,test_time_avg,train_median,test_median,test_p25,test_pct_profitable,train_pct_profitable,test_n_weeks,test_sharpe,robust_time_avg,test_worst_week,test_std,wallets,n_wallets,bet,peak_conc,peak_capital,fits
124.88,973.12,66.86,728.2,62.08,75.0,55.0,20,0.54,124.88,-702.0,2362.3,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x567464a8b6b5794c43282c4a9274e12b48ba8b14,2,40,49,1960,True
287.47,693.28,98.56,30.15,-98.88,53.8,56.4,26,0.3,287.47,-732.84,2352.39,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x9d9346b36bfacf6858ae06c7401a72ad09162cf1,2,50,37,1850,True
158.57,650.18,-4.47,91.23,-78.26,64.3,48.9,28,0.35,158.57,-506.77,2104.61,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x5c6940cefe1dc0cbcc859b62997cc749baa751ca,2,50,37,1850,True
188.25,586.22,111.01,40.67,-91.65,50.0,56.8,18,0.35,188.25,-683.73,2473.92,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x62e651c34c394423e8c2c93b24a50b0e54cf564e,2,50,37,1850,True
171.33,429.48,93.26,-23.88,-71.32,42.9,60.5,28,0.33,171.33,-197.09,1394.67,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0xc6174a742b2926f00e683828019cef708ff9cd8e,2,35,51,1785,True
55.28,-438.73,32.5,-260.49,-952.1,20.0,52.4,25,-0.29,-438.73,-6137.26,1771.42,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x26437896ed9dfeb2f69765edcafe8fdceaab39ae,2,25,78,1950,True
157.42,620.82,68.6,-43.86,-321.63,48.0,53.7,25,0.27,157.42,-833.99,2161.17,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x77f623734a71c023f9df91011189eaeef891dbd1,2,50,37,1850,True
287.47,723.21,98.56,97.21,-13.08,72.2,56.4,18,0.4,287.47,-178.21,2433.02,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0xe7dd85e5a9059a65d84f354203648df9928a96cb,2,50,37,1850,True
114.96,512.58,55.51,-7.07,-32.17,44.8,57.5,29,0.33,114.96,-922.22,1659.8,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0xb64fe08cf7ebbf52cf2963bba89deb13b79ddc88,2,25,69,1725,True
174.47,360.63,14.32,15.63,-31.79,57.9,54.1,19,0.38,174.47,-134.81,1195.86,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0xd3a6e523c440f94f9259398fbcf7b5cc5ccffd55,2,25,67,1675,True
54.23,323.55,14.42,25.89,-2.31,61.1,54.5,18,0.45,54.23,-127.44,1031.74,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x7177a7f5c216809c577c50c77b12aae81f81ddef,2,15,110,1650,True
320.87,377.01,185.36,28.47,-53.32,50.0,63.3,16,0.4,320.87,-124.75,1809.02,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x5e222c5667c429e79d0e36d580ed1110cc923993,2,35,52,1820,True
357.2,2008.82,123.89,1143.46,529.45,85.2,58.9,27,0.82,357.2,-124.75,2847.17,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0xaa501f4663c454e94fba8907c42dafcc785a3ed5,2,35,51,1785,True
56.01,87.77,21.91,6.23,-64.46,50.0,58.8,28,0.15,56.01,-971.62,671.47,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0xd6a39cef30c927c4d57b5cc519f3a2d0332a9738,2,15,108,1620,True
58.57,211.33,6.0,-34.01,-70.68,33.3,50.9,27,0.28,58.57,-174.9,1227.69,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0xe0f3208b94bbd4d1a3dee319d4d574747297d82c,2,30,65,1950,True
287.47,595.12,98.56,-24.65,-100.24,44.4,56.4,27,0.29,287.47,-178.21,2028.89,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x88d17ad6bf91ca0935f6e70b37ebe3db92b618da,2,50,37,1850,True
116.76,401.11,7.69,41.5,-26.32,53.3,56.0,15,0.42,116.76,-89.11,1328.73,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0xba732f8ac829db045ab0622787794976cb950cfd,2,25,73,1825,True
287.47,515.4,98.56,-1.65,-87.62,47.4,56.4,19,0.34,287.47,-1523.33,2448.29,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x2b3ff45c91540e46fae1e0c72f61f4b049453446,2,50,37,1850,True
230.41,687.81,144.14,88.38,-11.81,73.3,64.3,30,0.37,230.41,-132.87,1901.41,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0xaa7a74b8c754e8aacc1ac2dedb699af0a3224d23,2,50,40,2000,True
279.91,557.04,68.99,58.1,-36.85,53.3,56.4,15,0.41,279.91,-160.53,1863.4,0x1cc16713196d456f86fa9c7387dd326a7f73b8df|0x1823757d22022f81a8fa1536d63101fe458884d8,2,35,51,1785,True
274.55,259.54,-23.95,250.68,-73.21,62.5,45.5,8,0.69,259.54,-186.18,405.28,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x39d3c773be30fcc73161fc6768f46d563a779ef0,2,65,30,1950,True
-8.12,42.82,-60.03,-3.61,-56.52,47.8,30.0,23,0.11,-8.12,-1084.65,363.72,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf,2,25,74,1850,True
244.04,1263.42,278.05,627.26,96.29,90.0,60.9,10,0.79,244.04,-246.74,1393.68,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x412fe1a101554f0b382181c3af932e4b2d8030fa,2,100,12,1200,True
-64.45,872.55,-161.25,1066.45,-372.88,70.0,40.9,10,0.67,-64.45,-832.1,1157.14,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1,2,80,24,1920,True
100.47,372.57,168.89,168.13,-74.23,66.7,73.7,21,0.74,100.47,-197.39,512.81,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1,2,80,24,1920,True
-33.53,824.65,-128.72,503.59,-74.17,62.1,37.5,29,0.5,-33.53,-1301.22,1605.02,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xfbf3d501e88815464642d0e913f15379c3eeb218,2,70,28,1960,True
-13.35,494.83,-201.34,284.13,16.7,74.1,0.0,27,0.67,-13.35,-591.19,788.7,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x567464a8b6b5794c43282c4a9274e12b48ba8b14,2,40,50,2000,True
84.18,562.28,-113.82,264.34,45.9,70.0,45.5,10,0.65,84.18,-589.85,772.69,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x9d9346b36bfacf6858ae06c7401a72ad09162cf1,2,100,12,1200,True
-3.67,642.41,-78.61,507.88,-6.86,73.7,27.3,19,0.66,-3.67,-675.13,889.07,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x5c6940cefe1dc0cbcc859b62997cc749baa751ca,2,100,13,1300,True
-14.91,177.16,-42.55,178.85,1.51,72.2,35.3,18,0.8,-14.91,-135.71,239.58,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x62e651c34c394423e8c2c93b24a50b0e54cf564e,2,55,34,1870,True
216.87,36.12,79.94,-29.02,-81.9,41.7,52.0,12,0.18,36.12,-229.02,179.65,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xc6174a742b2926f00e683828019cef708ff9cd8e,2,30,60,1800,True
-468.37,-1050.21,-220.91,-22.12,-800.93,50.0,16.7,12,-0.44,-1050.21,-6945.12,2053.82,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x26437896ed9dfeb2f69765edcafe8fdceaab39ae,2,25,72,1800,True
-229.8,528.78,-222.31,489.96,102.71,80.0,29.2,10,0.73,-229.8,-688.75,676.7,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x77f623734a71c023f9df91011189eaeef891dbd1,2,100,16,1600,True
122.71,326.46,49.23,-21.87,-99.25,44.4,52.4,9,0.56,122.71,-246.74,560.08,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xe7dd85e5a9059a65d84f354203648df9928a96cb,2,100,13,1300,True
474.42,72.93,37.04,32.62,-19.98,60.0,65.2,10,0.53,72.93,-100.82,128.8,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xb64fe08cf7ebbf52cf2963bba89deb13b79ddc88,2,25,69,1725,True
157.91,68.29,-8.39,16.21,-91.52,53.6,47.5,28,0.31,68.29,-414.71,230.1,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xd3a6e523c440f94f9259398fbcf7b5cc5ccffd55,2,40,48,1920,True
100.65,49.21,-16.36,48.78,1.49,71.4,46.7,14,0.78,49.21,-37.01,70.05,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x7177a7f5c216809c577c50c77b12aae81f81ddef,2,15,107,1605,True
249.82,98.93,105.64,100.65,-27.97,63.6,61.0,22,0.7,98.93,-87.44,152.35,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x5e222c5667c429e79d0e36d580ed1110cc923993,2,35,52,1820,True
952.36,1696.25,595.81,738.26,107.88,89.5,74.2,19,0.55,952.36,-67.28,2916.8,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xaa501f4663c454e94fba8907c42dafcc785a3ed5,2,35,51,1785,True
0.98,-48.5,-4.63,38.33,-76.13,60.9,44.7,23,-0.15,-48.5,-1008.63,329.82,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xd6a39cef30c927c4d57b5cc519f3a2d0332a9738,2,15,108,1620,True
-23.63,22.46,-52.23,-66.97,-148.98,38.5,38.1,39,0.09,-23.63,-639.76,282.05,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xe0f3208b94bbd4d1a3dee319d4d574747297d82c,2,60,31,1860,True
-48.73,329.44,-35.04,129.64,-199.05,50.0,42.9,10,0.48,-48.73,-383.01,590.01,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x88d17ad6bf91ca0935f6e70b37ebe3db92b618da,2,100,16,1600,True
107.86,51.78,1.8,18.19,-94.5,50.0,50.9,28,0.26,51.78,-426.5,207.27,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xba732f8ac829db045ab0622787794976cb950cfd,2,40,47,1880,True
-136.2,519.67,-14.43,364.58,14.13,70.0,47.8,10,0.84,-136.2,-246.74,568.04,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x2b3ff45c91540e46fae1e0c72f61f4b049453446,2,100,20,2000,True
145.36,437.12,14.61,300.56,-203.23,67.7,50.0,31,0.54,145.36,-1243.26,767.41,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0xaa7a74b8c754e8aacc1ac2dedb699af0a3224d23,2,100,13,1300,True
52.79,90.26,-59.32,60.01,-104.74,56.0,20.0,25,0.45,52.79,-201.6,212.37,0x23c8a4c266d10ba5846837eac391fea89ed6f293|0x1823757d22022f81a8fa1536d63101fe458884d8,2,45,42,1890,True
4.27,67.46,18.63,9.83,-31.13,54.5,50.0,22,0.18,4.27,-1082.7,350.69,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf,2,25,74,1850,True
258.0,911.28,162.38,402.4,182.66,100.0,59.1,10,0.8,258.0,13.54,1003.74,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x412fe1a101554f0b382181c3af932e4b2d8030fa,2,65,30,1950,True
337.51,242.52,-234.67,81.23,-461.44,50.0,38.9,8,0.27,242.52,-557.74,811.16,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1,2,60,31,1860,True
63.04,198.33,100.52,13.76,-15.04,60.0,83.3,20,0.53,63.04,-179.97,393.91,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1,2,35,52,1820,True
-18.93,843.75,-78.99,265.66,42.68,75.9,37.5,29,0.55,-18.93,-1029.53,1500.06,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0xfbf3d501e88815464642d0e913f15379c3eeb218,2,65,30,1950,True
-2.95,517.12,-9.09,525.63,38.77,78.3,0.0,23,0.74,-2.95,-866.75,796.84,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x567464a8b6b5794c43282c4a9274e12b48ba8b14,2,35,53,1855,True
311.71,211.09,16.95,170.61,-29.94,66.7,52.6,9,0.62,211.09,-118.01,293.41,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x9d9346b36bfacf6858ae06c7401a72ad09162cf1,2,65,30,1950,True
60.04,403.34,-18.48,108.69,-85.5,61.1,38.1,18,0.53,60.04,-294.34,713.14,0x39d3c773be30fcc73161fc6768f46d563a779ef0|0x5c6940cefe1dc0cbcc859b62997cc749baa751ca,2,60,33,1980,True
