event,n_points,fills,spread_pnl_gross,final_position,outcome_value,total_pnl_at_resolution
Los Angeles FC vs. Real Salt Lake - More Mar,147,4,0.15,0.0,1.0,0.15
Will Trump be in the WC Champions Photo?,167,54,0.31,-24.0,1.0,0.3
"ODI Series Sri Lanka vs Pakistan, Women: Sri",129,38,0.34,2.0,0.0,0.34
Beşiktaş JK vs. FC Midtjylland,148,14,0.37,-2.0,1.0,0.37
FC Malisheva vs. Hibernian FC,119,11,0.45,-1.0,1.0,0.45
Bloomfield Hills: Borna Gojo vs Dhakshineswa,39,9,0.16,-1.0,0.0,0.47
Counter-Strike: Walczaki vs 3DMAX (BO3) - St,42,9,0.47,-1.0,1.0,0.47
LoL: Eintracht Frankfurt vs BIG (BO3) - Prim,52,4,0.5,0.0,1.0,0.5
Winnipeg: Johannus Monday vs Yuta Shimizu,42,12,0.15,2.0,1.0,0.54
LoL: Galions vs Vitality.Bee (BO1) - LFL Reg,31,9,0.59,1.0,0.0,0.59
Hamburg European Open: Paula Badosa vs Panna,23,4,0.48,2.0,1.0,0.6
Hamburg European Open: Elina Avanesyan vs Yu,50,10,0.74,2.0,1.0,0.74
Estoril Open: Luca Van Assche vs Pablo Carre,45,4,-0.14,2.0,1.0,1.04
Counter-Strike: Heroic vs FOKUS (BO3) - Star,46,6,1.11,2.0,1.0,1.11
Bloomfield Hills: J.J. Wolf vs Coleman Wong,47,14,1.44,2.0,1.0,1.45
Counter-Strike: Sinners vs FUT Esports (BO3),138,20,1.54,2.0,1.0,1.54
Tromsø IL vs. FC Hradec Králové,146,14,1.62,-2.0,0.0,1.62
Qarabağ Ağdam FK vs. PFK CSKA Sofia,146,33,1.64,-1.0,0.0,1.64
Valorant: Global Esports vs FULL SENSE (BO3),66,13,2.03,3.0,1.0,2.03
Hammarby Fotboll vs. RSC Anderlecht,150,21,2.08,1.0,0.0,2.08
Minnesota Twins vs. Cleveland Guardians,151,23,-0.93,5.0,1.0,2.24
Livesport Prague Open: Nikola Bartunkova vs ,44,10,-1.04,-4.0,0.0,2.44
