ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXBNB15M-26SEP130430-30,no,92.8000,588,91,83,51,KXBNB15M,30,92.0000,72
KXXRP15M-26SEP130430-30,no,90.1000,588,89,86,66,KXXRP15M,20,92.8000,72
KXETH15M-26SEP130430-30,no,90.1000,471,83,87,87,KXETH15M,1323,90.0000,72
KXBTC15M-26SEP130430-30,no,90.1000,327,85,78,80,KXBTC15M,11751,90.5000,72
KXSOL15M-26SEP130430-30,no,88.0000,273,86,77,76,KXSOL15M,547,90.2000,72
KXDOGE15M-26SEP130430-30,no,89.0000,255,89,66,76,KXDOGE15M,383,90.7000,72
KXSOL15M-26SEP130415-15,yes,90.0000,358,83,66,64,KXSOL15M,0,94.3000,72
KXBTC15M-26SEP130415-15,yes,88.0000,324,84,80,71,KXBTC15M,66591,57.0000,72
KXDOGE15M-26SEP130415-15,no,91.7000,239,72,72,71,KXDOGE15M,0,93.5000,72
KXETH15M-26SEP130415-15,no,90.8000,239,61,44,49,KXETH15M,0,93.5000,72
KXXRP15M-26SEP130415-15,no,89.0000,221,56,27,36,KXXRP15M,2429,89.0000,72
KXBTC15M-26SEP130415-15,no,89.0000,204,86,42,17,KXBTC15M,11796,90.8000,72
KXBNB15M-26SEP130415-15,no,90.3000,187,81,26,29,KXBNB15M,104,91.5000,72
KXDOGE15M-26SEP130400-00,no,88.0000,419,84,74,72,KXDOGE15M,444,90.0000,72
KXBNB15M-26SEP130400-00,no,89.0000,296,85,77,64,KXBNB15M,3066,83.0000,72
KXXRP15M-26SEP130400-00,no,94.1000,262,83,88,88,KXXRP15M,0,96.4000,72
KXSOL15M-26SEP130400-00,no,96.1000,245,82,83,76,KXSOL15M,0,95.6000,72
KXETH15M-26SEP130400-00,no,89.0000,245,71,79,70,KXETH15M,805,90.0000,72
KXBTC15M-26SEP130400-00,no,91.0000,227,83,81,70,KXBTC15M,23171,87.0000,72
KXSOL15M-26SEP130345-45,no,91.4000,516,91,83,79,KXSOL15M,27,92.5000,72
KXXRP15M-26SEP130345-45,no,88.0000,494,88,80,81,KXXRP15M,3267,88.0000,72
KXDOGE15M-26SEP130345-45,no,92.2000,494,91,86,81,KXDOGE15M,1,93.0000,72
KXBTC15M-26SEP130345-45,no,88.0000,297,75,76,79,KXBTC15M,13034,89.0000,72
KXETH15M-26SEP130345-45,yes,92.3000,261,81,82,53,KXETH15M,0,94.4000,72
KXBNB15M-26SEP130345-45,yes,88.0000,191,74,22,24,KXBNB15M,1812,88.0000,72
KXBNB15M-26SEP130330-30,yes,90.9000,438,88,80,78,KXBNB15M,39,91.6000,72
KXXRP15M-26SEP130330-30,yes,88.0000,382,83,70,56,KXXRP15M,3179,85.0000,72
KXBTC15M-26SEP130330-30,no,93.7000,164,75,74,49,KXBTC15M,0,96.9000,72
KXSOL15M-26SEP130315-15,yes,89.0000,577,89,82,69,KXSOL15M,3431,85.0000,72
KXBTC15M-26SEP130315-15,yes,90.1000,507,89,85,82,KXBTC15M,0,93.2000,72
KXETH15M-26SEP130315-15,yes,88.0000,490,78,80,68,KXETH15M,131,90.5000,72
KXDOGE15M-26SEP130315-15,yes,88.0000,431,85,75,76,KXDOGE15M,2158,89.0000,72
KXBNB15M-26SEP130315-15,yes,88.0000,413,82,73,80,KXBNB15M,1860,88.0000,72
KXXRP15M-26SEP130315-15,yes,88.0000,361,86,77,61,KXXRP15M,290,90.5000,72
KXBTC15M-26SEP130300-00,no,90.1000,597,87,84,81,KXBTC15M,984,92.6000,72
KXETH15M-26SEP130300-00,no,89.0000,575,89,90,81,KXETH15M,1095,90.2000,72
KXDOGE15M-26SEP130300-00,no,90.0000,553,86,73,66,KXDOGE15M,228,90.3000,72
KXXRP15M-26SEP130300-00,no,88.0000,535,83,77,71,KXXRP15M,2253,88.0000,72
KXSOL15M-26SEP130300-00,no,88.0000,535,86,78,73,KXSOL15M,2644,87.0000,72
KXBNB15M-26SEP130300-00,no,90.9000,463,70,70,63,KXBNB15M,23,91.1000,72
KXSOL15M-26SEP130245-45,no,89.0000,529,84,84,78,KXSOL15M,538,91.4000,72
KXETH15M-26SEP130245-45,no,88.0000,405,87,81,77,KXETH15M,2313,88.0000,72
KXBNB15M-26SEP130245-45,no,88.0000,370,80,82,79,KXBNB15M,2246,86.0000,72
KXDOGE15M-26SEP130245-45,no,91.3000,317,78,74,74,KXDOGE15M,77,91.5000,72
KXXRP15M-26SEP130245-45,no,91.4000,299,65,76,76,KXXRP15M,112,92.5000,72
KXBTC15M-26SEP130245-45,no,89.0000,259,87,53,67,KXBTC15M,48898,90.0000,72
KXBNB15M-26SEP130230-30,no,89.0000,545,85,77,79,KXBNB15M,1873,89.0000,72
KXSOL15M-26SEP130230-30,no,90.0000,449,90,85,83,KXSOL15M,42,92.6000,72
KXDOGE15M-26SEP130230-30,no,91.9000,449,90,78,67,KXDOGE15M,17,92.4000,72
KXXRP15M-26SEP130230-30,no,92.6000,393,91,85,65,KXXRP15M,0,94.1000,72
KXETH15M-26SEP130230-30,no,89.0000,261,87,81,85,KXETH15M,187,91.2000,72
KXBTC15M-26SEP130230-30,no,90.6000,239,85,82,74,KXBTC15M,17119,90.4000,72
KXDOGE15M-26SEP130215-15,no,88.0000,368,81,71,71,KXDOGE15M,51,90.0000,72
KXXRP15M-26SEP130215-15,no,91.3000,350,83,88,85,KXXRP15M,249,90.0000,72
KXETH15M-26SEP130215-15,no,88.0000,238,80,65,52,KXETH15M,3098,89.0000,72
