ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXSOL15M-26SEP110400-00,no,96.9000,291,96,94,90,KXSOL15M,0,97.8000,72
KXBTC15M-26SEP110400-00,no,93.6000,291,91,86,80,KXBTC15M,0,94.8000,72
KXETH15M-26SEP110400-00,no,88.0000,291,82,82,75,KXETH15M,2910,89.0000,72
KXXRP15M-26SEP110400-00,no,96.0000,291,95,91,90,KXXRP15M,0,96.0000,72
KXDOGE15M-26SEP110400-00,no,96.0000,291,95,94,91,KXDOGE15M,0,96.8000,72
KXBNB15M-26SEP110400-00,no,95.1000,291,94,93,90,KXBNB15M,0,95.0000,72
KXSOL15M-26SEP110415-15,no,88.0000,539,86,80,57,KXSOL15M,3169,87.0000,72
KXXRP15M-26SEP110415-15,no,89.0000,503,87,80,75,KXXRP15M,2319,89.0000,72
KXBTC15M-26SEP110415-15,no,88.0000,395,86,83,84,KXBTC15M,36139,89.0000,72
KXETH15M-26SEP110415-15,no,91.0000,348,78,73,86,KXETH15M,451,91.6000,72
KXBNB15M-26SEP110415-15,no,90.0000,329,89,76,63,KXBNB15M,528,90.0000,72
KXDOGE15M-26SEP110415-15,no,90.6000,311,88,77,75,KXDOGE15M,0,93.7000,72
KXXRP15M-26SEP110345-45,no,92.3000,315,92,84,81,KXXRP15M,0,93.0000,72
KXBNB15M-26SEP110345-45,no,96.7000,315,97,94,90,KXBNB15M,0,98.0000,72
KXBTC15M-26SEP110345-45,no,89.0000,297,85,75,72,KXBTC15M,2667,92.5000,72
KXETH15M-26SEP110345-45,no,91.0000,191,77,83,77,KXETH15M,584,90.0000,72
KXBTC15M-26SEP110330-30,yes,92.9000,333,90,66,76,KXBTC15M,0,93.7000,72
KXSOL15M-26SEP110330-30,yes,95.0000,333,95,87,87,KXSOL15M,0,98.1000,72
KXXRP15M-26SEP110330-30,yes,91.9000,333,88,60,68,KXXRP15M,0,93.8000,72
KXETH15M-26SEP110330-30,yes,94.7000,333,93,66,73,KXETH15M,0,96.0000,72
KXDOGE15M-26SEP110330-30,yes,93.6000,333,93,76,79,KXDOGE15M,0,94.5000,72
KXBNB15M-26SEP110330-30,yes,94.1000,313,93,68,66,KXBNB15M,1949,87.0000,72
KXSOL15M-26SEP110315-15,yes,91.1000,358,89,88,74,KXSOL15M,51,92.7000,72
KXBTC15M-26SEP110315-15,yes,94.4000,358,90,88,74,KXBTC15M,0,94.7000,72
KXETH15M-26SEP110315-15,yes,91.9000,358,89,87,73,KXETH15M,0,94.2000,72
KXXRP15M-26SEP110315-15,yes,95.9000,358,93,93,88,KXXRP15M,0,95.6000,72
KXDOGE15M-26SEP110315-15,yes,88.0000,358,83,75,67,KXDOGE15M,2174,88.0000,72
KXBNB15M-26SEP110315-15,yes,90.8000,358,91,84,84,KXBNB15M,0,93.5000,72
KXBTC15M-26SEP110300-00,yes,91.2000,386,90,88,85,KXBTC15M,9620,90.2000,72
KXXRP15M-26SEP110300-00,yes,88.0000,386,87,84,81,KXXRP15M,3657,85.0000,72
KXSOL15M-26SEP110300-00,yes,88.0000,280,82,87,86,KXSOL15M,3452,88.0000,72
KXDOGE15M-26SEP110300-00,yes,89.0000,280,89,86,83,KXDOGE15M,304,90.0000,72
KXETH15M-26SEP110300-00,yes,90.0000,208,84,82,79,KXETH15M,1040,91.6000,72
KXBNB15M-26SEP110245-45,no,90.9000,407,86,83,85,KXBNB15M,28,91.0000,72
KXETH15M-26SEP110245-45,no,88.0000,194,81,58,62,KXETH15M,2674,89.0000,72
KXSOL15M-26SEP110245-45,no,91.3000,176,86,68,65,KXSOL15M,3142,88.0000,72
KXDOGE15M-26SEP110245-45,no,92.8000,176,84,68,67,KXDOGE15M,275,90.2000,72
KXBTC15M-26SEP110245-45,no,92.6000,156,93,87,66,KXBTC15M,0,93.2000,72
KXBTC15M-26SEP110230-30,no,89.0000,421,89,84,81,KXBTC15M,36786,87.0000,72
KXBNB15M-26SEP110230-30,no,90.0000,421,87,77,77,KXBNB15M,0,93.6000,72
KXDOGE15M-26SEP110230-30,no,88.0000,421,89,70,67,KXDOGE15M,9,92.1000,72
KXETH15M-26SEP110230-30,no,88.0000,383,84,83,77,KXETH15M,2843,89.0000,72
KXXRP15M-26SEP110230-30,no,89.0000,347,72,66,61,KXXRP15M,126,90.9000,72
KXSOL15M-26SEP110230-30,no,94.8000,328,93,82,81,KXSOL15M,0,95.7000,72
KXBTC15M-26SEP110215-15,yes,88.0000,221,88,77,79,KXBTC15M,0,92.9000,72
KXXRP15M-26SEP110215-15,yes,88.0000,221,89,78,84,KXXRP15M,212,92.7000,72
KXBNB15M-26SEP110200-00,no,90.0000,408,65,67,73,KXBNB15M,3,91.9000,72
KXBTC15M-26SEP110200-00,yes,90.0000,247,73,55,48,KXBTC15M,15616,90.4000,72
KXETH15M-26SEP110200-00,yes,90.0000,229,82,76,64,KXETH15M,416,91.5000,72
KXETH15M-26SEP110145-45,yes,88.0000,440,82,75,59,KXETH15M,2762,86.0000,72
KXBNB15M-26SEP110145-45,yes,93.4000,371,86,74,67,KXBNB15M,1874,89.0000,72
KXBTC15M-26SEP110145-45,yes,89.0000,226,85,70,82,KXBTC15M,9900,91.5000,72
KXSOL15M-26SEP110145-45,yes,89.0000,157,86,82,73,KXSOL15M,382,91.5000,72
KXBNB15M-26SEP110130-30,no,90.3000,479,79,73,63,KXBNB15M,712,90.9000,72
KXDOGE15M-26SEP110130-30,no,90.0000,313,85,79,85,KXDOGE15M,150,91.0000,72
KXSOL15M-26SEP110130-30,no,90.0000,264,84,83,76,KXSOL15M,228,90.1000,72
KXETH15M-26SEP110130-30,no,88.0000,263,76,74,66,KXETH15M,264,91.2000,72
KXXRP15M-26SEP110130-30,no,91.9000,235,81,80,73,KXXRP15M,0,94.7000,72
KXBTC15M-26SEP110130-30,no,90.0000,151,85,80,52,KXBTC15M,4095,92.6000,72
KXBNB15M-26SEP110115-15,no,91.3000,287,85,81,77,KXBNB15M,93,90.7000,72
KXXRP15M-26SEP110115-15,yes,88.0000,197,66,47,32,KXXRP15M,0,93.7000,72
KXSOL15M-26SEP110115-15,yes,93.9000,161,63,64,51,KXSOL15M,0,95.0000,72
KXDOGE15M-26SEP110100-00,yes,89.0000,417,87,80,72,KXDOGE15M,802,90.0000,56
KXBNB15M-26SEP110100-00,yes,91.3000,357,84,86,86,KXBNB15M,1928,88.0000,56
KXXRP15M-26SEP110100-00,yes,88.0000,287,83,78,75,KXXRP15M,593,90.6000,56
KXETH15M-26SEP110100-00,yes,88.0000,269,88,82,82,KXETH15M,682,90.0000,56
KXBTC15M-26SEP110100-00,yes,89.0000,251,85,85,77,KXBTC15M,17049,90.7000,56
KXDOGE15M-26SEP110045-45,no,88.0000,548,82,66,66,KXDOGE15M,2630,89.0000,56
KXXRP15M-26SEP110045-45,no,88.0000,457,83,84,80,KXXRP15M,2582,88.0000,56
KXSOL15M-26SEP110045-45,no,90.0000,396,86,78,78,KXSOL15M,944,90.0000,56
KXETH15M-26SEP110045-45,no,89.0000,298,89,82,65,KXETH15M,5315,85.0000,56
KXBTC15M-26SEP110045-45,no,89.0000,203,88,85,88,KXBTC15M,16275,90.0000,56
KXBNB15M-26SEP110030-30,yes,90.9000,437,82,82,58,KXBNB15M,359,90.0000,56
KXETH15M-26SEP110030-30,yes,88.0000,380,84,74,82,KXETH15M,2506,89.0000,56
KXDOGE15M-26SEP110030-30,yes,88.0000,326,89,81,45,KXDOGE15M,3,92.4000,56
KXSOL15M-26SEP110030-30,yes,91.4000,326,79,73,45,KXSOL15M,0,93.8000,56
KXXRP15M-26SEP110030-30,yes,89.0000,307,79,68,43,KXXRP15M,132,91.3000,56
KXBTC15M-26SEP110030-30,yes,92.9000,269,92,78,68,KXBTC15M,0,95.0000,56
KXBNB15M-26SEP110015-15,yes,91.1000,471,84,81,64,KXBNB15M,1946,86.0000,56
KXETH15M-26SEP110015-15,yes,90.7000,454,90,83,75,KXETH15M,792,90.1000,56
KXSOL15M-26SEP110015-15,yes,91.9000,256,81,78,78,KXSOL15M,269,92.1000,56
KXBTC15M-26SEP110015-15,yes,90.1000,237,84,85,81,KXBTC15M,52086,84.0000,56
KXXRP15M-26SEP110015-15,yes,88.0000,237,76,82,79,KXXRP15M,7406,75.0000,56
KXBNB15M-26SEP110000-00,no,88.0000,456,85,78,79,KXBNB15M,2382,86.0000,56
KXETH15M-26SEP110000-00,no,90.0000,438,83,83,83,KXETH15M,834,90.2000,56
KXSOL15M-26SEP110000-00,no,89.0000,398,89,77,78,KXSOL15M,2568,89.0000,56
KXDOGE15M-26SEP110000-00,yes,91.9000,188,81,66,60,KXDOGE15M,241,91.0000,56
KXBNB15M-26SEP112345-45,yes,90.7000,421,70,61,59,KXBNB15M,17,92.8000,72
KXSOL15M-26SEP112345-45,no,89.0000,314,86,75,79,KXSOL15M,6,92.6000,72
KXBNB15M-26SEP112330-30,no,94.6000,282,78,81,88,KXBNB15M,0,94.0000,72
KXSOL15M-26SEP112330-30,no,90.3000,282,81,67,71,KXSOL15M,2821,87.0000,72
KXETH15M-26SEP112330-30,no,89.0000,246,87,74,70,KXETH15M,1218,90.0000,72
KXBNB15M-26SEP112315-15,yes,90.2000,585,90,87,79,KXBNB15M,0,95.0000,72
KXXRP15M-26SEP112315-15,yes,89.0000,568,87,83,71,KXXRP15M,3320,89.0000,72
KXDOGE15M-26SEP112315-15,yes,88.0000,549,85,79,59,KXDOGE15M,462,90.0000,72
KXSOL15M-26SEP112315-15,yes,90.6000,507,92,85,75,KXSOL15M,4827,83.0000,72
KXBTC15M-26SEP112315-15,yes,89.0000,261,87,76,81,KXBTC15M,2731,92.2000,72
KXETH15M-26SEP112315-15,yes,90.0000,185,89,67,55,KXETH15M,2271,88.0000,72
KXBNB15M-26SEP112300-00,yes,94.0000,595,87,58,57,KXBNB15M,0,94.0000,72
KXXRP15M-26SEP112300-00,yes,88.0000,543,85,82,71,KXXRP15M,3521,87.0000,72
KXDOGE15M-26SEP112300-00,yes,90.2000,507,87,79,74,KXDOGE15M,7268,50.0000,72
KXDOGE15M-26SEP112245-45,no,90.3000,180,84,51,70,KXDOGE15M,14,91.0000,72
KXXRP15M-26SEP112230-30,yes,92.8000,309,87,84,79,KXXRP15M,44,92.1000,72
KXDOGE15M-26SEP112230-30,yes,88.0000,187,83,88,82,KXDOGE15M,442,90.0000,72
KXBTC15M-26SEP112215-15,yes,90.4000,247,83,79,77,KXBTC15M,22460,90.7000,72
KXDOGE15M-26SEP112215-15,yes,91.5000,194,85,73,66,KXDOGE15M,24,92.6000,72
KXBNB15M-26SEP112200-00,yes,90.0000,574,90,85,89,KXBNB15M,220,90.8000,72
KXSOL15M-26SEP112200-00,yes,89.0000,504,88,85,74,KXSOL15M,3735,87.0000,72
KXDOGE15M-26SEP112200-00,yes,90.1000,467,81,75,69,KXDOGE15M,15,92.9000,72
KXETH15M-26SEP112200-00,yes,90.7000,447,90,82,77,KXETH15M,168,92.7000,72
KXBTC15M-26SEP112200-00,yes,90.0000,447,88,80,75,KXBTC15M,16039,90.5000,72
KXXRP15M-26SEP112200-00,no,91.3000,197,86,79,80,KXXRP15M,0,93.5000,72
KXSOL15M-26SEP112145-45,no,88.0000,380,86,67,58,KXSOL15M,6,92.7000,72
KXXRP15M-26SEP112145-45,no,93.8000,329,94,71,53,KXXRP15M,0,95.3000,72
KXBTC15M-26SEP112145-45,no,90.0000,329,89,59,49,KXBTC15M,5463,92.5000,72
KXBNB15M-26SEP112145-45,no,90.0000,312,85,56,63,KXBNB15M,4476,77.0000,72
KXBNB15M-26SEP112130-30,yes,88.0000,585,90,90,78,KXBNB15M,273,90.9000,72
KXBTC15M-26SEP112130-30,no,88.0000,355,79,75,66,KXBTC15M,40339,89.0000,72
KXSOL15M-26SEP112130-30,no,90.3000,248,79,87,79,KXSOL15M,785,90.0000,72
KXETH15M-26SEP112130-30,no,89.0000,173,56,36,63,KXETH15M,5090,86.0000,72
KXDOGE15M-26SEP112130-30,no,89.0000,173,65,49,50,KXDOGE15M,0,93.2000,72
KXXRP15M-26SEP112115-15,yes,88.0000,495,77,70,57,KXXRP15M,3552,85.0000,72
KXBNB15M-26SEP112115-15,yes,90.1000,477,74,56,31,KXBNB15M,154,90.6000,72
KXSOL15M-26SEP112115-15,yes,89.0000,405,81,74,61,KXSOL15M,669,90.8000,72
KXDOGE15M-26SEP112115-15,yes,90.0000,386,90,83,72,KXDOGE15M,38,91.1000,72
KXETH15M-26SEP112115-15,yes,90.0000,367,87,73,72,KXETH15M,683,91.5000,72
KXBTC15M-26SEP112115-15,yes,90.1000,289,82,79,71,KXBTC15M,0,93.3000,72
KXSOL15M-26SEP112100-00,no,89.0000,517,88,86,78,KXSOL15M,0,94.1000,72
KXETH15M-26SEP112100-00,no,91.6000,184,86,71,88,KXETH15M,2739,88.0000,72
KXETH15M-26SEP112045-45,no,90.0000,212,87,70,83,KXETH15M,612,90.3000,72
KXDOGE15M-26SEP112045-45,no,89.0000,176,76,55,72,KXDOGE15M,13,92.5000,72
KXBNB15M-26SEP112030-30,yes,89.0000,511,87,86,77,KXBNB15M,1878,89.0000,72
KXXRP15M-26SEP112030-30,yes,88.0000,493,88,87,79,KXXRP15M,2096,89.0000,72
KXDOGE15M-26SEP112030-30,yes,88.0000,211,87,86,81,KXDOGE15M,0,93.9000,72
KXDOGE15M-26SEP112015-15,no,88.0000,532,63,52,46,KXDOGE15M,2599,88.0000,72
KXSOL15M-26SEP112015-15,no,88.0000,461,79,41,38,KXSOL15M,547,90.0000,72
KXBTC15M-26SEP112015-15,yes,90.0000,385,79,76,71,KXBTC15M,26386,88.0000,72
KXXRP15M-26SEP112015-15,no,90.2000,292,83,81,79,KXXRP15M,2226,86.0000,72
KXETH15M-26SEP112015-15,no,90.1000,268,85,83,86,KXETH15M,681,91.1000,72
KXXRP15M-26SEP111945-45,yes,91.0000,158,91,94,88,KXXRP15M,4997,79.0000,72
