ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXETH15M-26SEP020400-00,no,88.0000,421,60,64,71,KXETH15M,905,90.3000,56
KXBNB15M-26SEP020400-00,no,94.7000,403,76,77,77,KXBNB15M,0,94.2000,56
KXSOL15M-26SEP020400-00,no,90.9000,351,86,68,71,KXSOL15M,2515,87.0000,56
KXDOGE15M-26SEP020400-00,no,90.9000,351,85,70,63,KXDOGE15M,6,91.9000,56
KXBTC15M-26SEP020400-00,no,89.0000,294,81,79,53,KXBTC15M,25421,89.0000,56
KXXRP15M-26SEP020400-00,no,90.0000,201,80,86,85,KXXRP15M,0,94.2000,56
KXDOGE15M-26SEP020345-45,yes,90.1000,360,86,79,81,KXDOGE15M,1363,86.0000,56
KXXRP15M-26SEP020345-45,yes,90.1000,274,85,74,80,KXXRP15M,0,93.3000,56
KXBNB15M-26SEP020345-45,yes,90.3000,218,90,86,77,KXBNB15M,0,93.5000,56
KXETH15M-26SEP020345-45,yes,88.0000,218,88,69,62,KXETH15M,3102,87.0000,56
KXSOL15M-26SEP020330-30,no,88.0000,591,90,87,80,KXSOL15M,1403,89.0000,56
KXDOGE15M-26SEP020330-30,no,91.7000,428,79,87,87,KXDOGE15M,99,91.8000,56
KXETH15M-26SEP020330-30,no,91.1000,428,75,83,81,KXETH15M,200,92.0000,56
KXXRP15M-26SEP020330-30,no,91.0000,409,74,80,80,KXXRP15M,0,93.5000,56
KXBNB15M-26SEP020330-30,no,93.8000,389,89,72,85,KXBNB15M,1111,88.0000,56
KXBTC15M-26SEP020330-30,no,92.8000,242,84,79,72,KXBTC15M,0,93.8000,56
KXDOGE15M-26SEP020315-15,yes,89.0000,416,86,86,77,KXDOGE15M,3292,71.0000,56
KXSOL15M-26SEP020315-15,yes,92.3000,329,86,84,80,KXSOL15M,0,93.8000,56
KXXRP15M-26SEP020315-15,yes,88.0000,311,66,68,74,KXXRP15M,195,91.7000,56
KXETH15M-26SEP020315-15,yes,90.3000,274,86,66,68,KXETH15M,0,93.1000,56
KXBTC15M-26SEP020315-15,yes,90.0000,256,85,64,57,KXBTC15M,17864,90.9000,56
KXBNB15M-26SEP020315-15,yes,93.9000,196,91,79,64,KXBNB15M,0,97.9000,56
KXDOGE15M-26SEP020300-00,no,88.0000,410,86,76,72,KXDOGE15M,220,90.0000,56
KXXRP15M-26SEP020300-00,no,89.0000,391,88,82,74,KXXRP15M,1422,89.0000,56
KXETH15M-26SEP020300-00,no,91.5000,372,90,79,70,KXETH15M,0,93.2000,56
KXBTC15M-26SEP020300-00,no,88.0000,372,84,74,63,KXBTC15M,26940,87.0000,56
KXSOL15M-26SEP020300-00,no,91.2000,372,88,74,66,KXSOL15M,0,93.1000,56
KXBNB15M-26SEP020300-00,no,89.0000,306,86,73,73,KXBNB15M,0,93.2000,56
KXDOGE15M-26SEP020245-45,no,90.7000,597,85,78,74,KXDOGE15M,3888,69.0000,56
KXBNB15M-26SEP020245-45,yes,88.0000,338,88,77,74,KXBNB15M,936,88.0000,56
KXETH15M-26SEP020245-45,yes,94.0000,251,71,41,24,KXETH15M,0,96.6000,56
KXDOGE15M-26SEP020245-45,yes,95.8000,251,80,47,32,KXDOGE15M,0,96.7000,56
KXSOL15M-26SEP020245-45,yes,91.6000,233,72,45,27,KXSOL15M,0,96.9000,56
KXXRP15M-26SEP020245-45,yes,95.9000,233,81,50,25,KXXRP15M,0,96.3000,56
KXBTC15M-26SEP020245-45,yes,92.4000,214,90,37,25,KXBTC15M,82730,80.0000,56
KXBNB15M-26SEP020230-30,no,90.0000,485,76,77,67,KXBNB15M,0,93.9000,56
KXDOGE15M-26SEP020230-30,yes,90.4000,199,90,54,34,KXDOGE15M,513,91.0000,56
KXETH15M-26SEP020230-30,yes,92.6000,165,80,42,29,KXETH15M,0,93.8000,56
KXXRP15M-26SEP020215-15,no,92.1000,497,78,77,79,KXXRP15M,28,92.5000,56
KXDOGE15M-26SEP020215-15,no,88.0000,461,89,67,68,KXDOGE15M,1448,89.0000,56
KXSOL15M-26SEP020215-15,no,90.0000,440,88,63,64,KXSOL15M,4592,75.0000,56
KXBTC15M-26SEP020215-15,yes,88.0000,266,81,77,78,KXBTC15M,24744,88.0000,56
KXDOGE15M-26SEP020200-00,yes,89.0000,372,81,77,75,KXDOGE15M,306,91.9000,56
KXETH15M-26SEP020200-00,yes,88.0000,332,90,86,83,KXETH15M,4355,85.0000,56
KXBTC15M-26SEP020200-00,no,95.4000,151,89,66,39,KXBTC15M,0,95.2000,56
KXBNB15M-26SEP020145-45,no,90.0000,501,85,88,83,KXBNB15M,232,90.0000,56
KXXRP15M-26SEP020145-45,no,88.0000,405,83,79,76,KXXRP15M,1255,89.0000,56
KXETH15M-26SEP020145-45,no,89.0000,348,90,84,85,KXETH15M,3077,87.0000,56
KXBTC15M-26SEP020145-45,no,88.0000,348,87,80,78,KXBTC15M,35689,86.0000,56
KXSOL15M-26SEP020145-45,no,89.0000,304,82,88,82,KXSOL15M,2571,87.0000,56
KXETH15M-26SEP020130-30,yes,91.6000,525,85,79,87,KXETH15M,810,92.0000,56
KXBNB15M-26SEP020130-30,yes,91.0000,489,87,74,69,KXBNB15M,92,90.9000,56
KXDOGE15M-26SEP020130-30,yes,93.5000,365,81,82,86,KXDOGE15M,0,93.5000,56
KXBTC15M-26SEP020130-30,yes,90.5000,326,92,87,79,KXBTC15M,0,95.0000,56
KXSOL15M-26SEP020130-30,yes,90.4000,307,88,79,83,KXSOL15M,4,93.0000,56
KXXRP15M-26SEP020130-30,yes,90.0000,307,84,66,62,KXXRP15M,545,91.3000,56
KXBNB15M-26SEP020115-15,no,90.4000,586,90,90,80,KXBNB15M,1849,90.3000,56
KXSOL15M-26SEP020115-15,no,89.0000,563,88,82,86,KXSOL15M,0,93.1000,56
KXDOGE15M-26SEP020115-15,no,88.0000,563,88,79,81,KXDOGE15M,69,92.7000,56
