ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXDOGE15M-26AUG300515-15,yes,88.0000,503,87,82,78,KXDOGE15M,454,86.0000,56
KXSOL15M-26AUG300515-15,yes,88.0000,398,88,83,84,KXSOL15M,992,86.0000,56
KXBNB15M-26AUG300515-15,yes,88.0000,398,88,85,86,KXBNB15M,5,91.1000,56
KXBTC15M-26AUG300515-15,yes,88.0000,172,80,61,64,KXBTC15M,7046,91.8000,56
KXSOL15M-26AUG300500-00,no,91.6000,598,90,86,85,KXSOL15M,0,93.7000,56
KXBNB15M-26AUG300500-00,yes,89.0000,255,84,44,30,KXBNB15M,0,97.0000,56
KXETH15M-26AUG300500-00,yes,88.0000,203,80,34,36,KXETH15M,832,88.0000,56
KXDOGE15M-26AUG300500-00,yes,90.7000,168,88,66,66,KXDOGE15M,0,93.2000,56
KXETH15M-26AUG300445-45,no,88.0000,517,81,68,59,KXETH15M,992,89.0000,56
KXBTC15M-26AUG300445-45,no,90.0000,517,86,71,68,KXBTC15M,88406,88.0000,56
KXBNB15M-26AUG300445-45,no,89.0000,465,72,60,57,KXBNB15M,113,88.0000,56
KXDOGE15M-26AUG300445-45,no,89.0000,465,75,50,52,KXDOGE15M,13,93.0000,56
KXXRP15M-26AUG300445-45,no,91.7000,465,64,43,47,KXXRP15M,44,92.0000,56
KXSOL15M-26AUG300445-45,no,90.0000,446,80,51,47,KXSOL15M,5044,85.0000,56
KXETH15M-26AUG300430-30,yes,90.0000,597,84,64,70,KXETH15M,639,90.9000,56
KXSOL15M-26AUG300430-30,yes,92.8000,555,89,84,76,KXSOL15M,272,90.5000,56
KXBTC15M-26AUG300430-30,yes,90.0000,257,81,52,62,KXBTC15M,65550,86.0000,56
KXXRP15M-26AUG300415-15,yes,89.0000,455,83,76,75,KXXRP15M,535,88.0000,56
KXSOL15M-26AUG300415-15,yes,90.0000,455,87,79,83,KXSOL15M,306,90.0000,56
KXETH15M-26AUG300415-15,yes,90.6000,437,87,83,84,KXETH15M,18,92.3000,56
KXDOGE15M-26AUG300415-15,yes,89.0000,418,73,77,75,KXDOGE15M,423,91.7000,56
KXBTC15M-26AUG300415-15,yes,88.0000,418,76,64,61,KXBTC15M,6999,90.9000,56
KXSOL15M-26AUG300400-00,yes,91.3000,347,75,55,37,KXSOL15M,51,93.0000,56
KXDOGE15M-26AUG300400-00,yes,89.0000,261,88,80,52,KXDOGE15M,6476,27.0000,56
KXBNB15M-26AUG300400-00,no,89.0000,176,67,58,63,KXBNB15M,19,92.9000,56
KXBTC15M-26AUG300345-45,no,91.5000,591,85,80,63,KXBTC15M,58065,90.0000,56
KXXRP15M-26AUG300345-45,no,88.0000,573,87,80,76,KXXRP15M,1608,87.0000,56
KXSOL15M-26AUG300345-45,no,89.0000,500,83,71,77,KXSOL15M,157,89.0000,56
KXBNB15M-26AUG300345-45,no,88.0000,465,75,69,68,KXBNB15M,278,88.0000,56
KXDOGE15M-26AUG300345-45,no,91.3000,429,85,70,76,KXDOGE15M,3065,68.0000,56
KXETH15M-26AUG300345-45,no,88.0000,215,87,82,80,KXETH15M,883,90.0000,56
KXETH15M-26AUG300330-30,no,90.0000,512,85,80,85,KXETH15M,692,90.0000,56
KXSOL15M-26AUG300330-30,no,94.4000,491,88,84,82,KXSOL15M,0,94.5000,56
KXDOGE15M-26AUG300330-30,no,88.0000,491,83,86,85,KXDOGE15M,20,90.0000,56
KXXRP15M-26AUG300330-30,no,89.0000,456,88,74,81,KXXRP15M,346,90.3000,56
KXBTC15M-26AUG300330-30,no,90.1000,438,86,79,83,KXBTC15M,58799,90.5000,56
KXDOGE15M-26AUG300315-15,no,88.0000,523,83,81,80,KXDOGE15M,1272,89.0000,56
KXETH15M-26AUG300315-15,no,90.3000,414,86,84,81,KXETH15M,918,90.7000,56
KXXRP15M-26AUG300315-15,no,89.0000,391,87,87,82,KXXRP15M,604,89.0000,56
KXSOL15M-26AUG300315-15,no,90.8000,391,89,78,63,KXSOL15M,55,91.8000,56
KXBNB15M-26AUG300315-15,no,90.0000,391,90,87,84,KXBNB15M,77,90.1000,56
KXBTC15M-26AUG300315-15,no,89.0000,355,78,73,65,KXBTC15M,34846,91.2000,56
KXSOL15M-26AUG300300-00,yes,90.5000,329,90,74,82,KXSOL15M,544,90.4000,56
KXBTC15M-26AUG300300-00,yes,90.1000,278,90,54,53,KXBTC15M,149803,74.0000,56
KXXRP15M-26AUG300245-45,yes,90.2000,579,86,80,67,KXXRP15M,554,89.0000,56
KXBTC15M-26AUG300245-45,yes,90.0000,485,87,74,57,KXBTC15M,64117,90.0000,56
KXETH15M-26AUG300245-45,yes,88.0000,485,86,76,63,KXETH15M,1478,87.0000,56
KXDOGE15M-26AUG300245-45,yes,88.0000,428,82,55,47,KXDOGE15M,461,86.0000,56
KXSOL15M-26AUG300245-45,yes,89.0000,197,75,53,63,KXSOL15M,0,99.8000,56
KXBTC15M-26AUG300230-30,yes,89.0000,508,88,86,78,KXBTC15M,66570,88.0000,56
KXETH15M-26AUG300230-30,yes,88.0000,451,88,83,82,KXETH15M,1191,90.0000,56
KXDOGE15M-26AUG300230-30,yes,90.9000,451,90,81,78,KXDOGE15M,333,90.9000,56
KXSOL15M-26AUG300230-30,yes,92.7000,411,86,72,69,KXSOL15M,79,92.7000,56
KXBNB15M-26AUG300230-30,yes,88.0000,411,84,75,77,KXBNB15M,133,88.0000,56
KXXRP15M-26AUG300230-30,yes,93.0000,411,86,74,77,KXXRP15M,49,92.4000,56
KXBNB15M-26AUG300215-15,no,89.0000,459,89,82,73,KXBNB15M,482,85.0000,56
KXDOGE15M-26AUG300215-15,no,88.0000,407,86,85,69,KXDOGE15M,231,90.0000,56
KXXRP15M-26AUG300215-15,no,88.0000,257,85,77,77,KXXRP15M,675,91.0000,56
KXSOL15M-26AUG300215-15,no,92.0000,221,78,57,50,KXSOL15M,0,94.2000,56
KXBTC15M-26AUG300215-15,no,89.0000,221,82,60,56,KXBTC15M,8822,90.2000,56
KXDOGE15M-26AUG300200-00,yes,90.4000,224,90,83,85,KXDOGE15M,226,91.9000,56
KXDOGE15M-26AUG300145-45,yes,90.5000,166,88,69,62,KXDOGE15M,7,92.0000,56
KXETH15M-26AUG300130-30,no,90.3000,250,89,82,79,KXETH15M,725,91.0000,56
KXBTC15M-26AUG300115-15,yes,90.2000,583,91,90,84,KXBTC15M,0,93.3000,56
KXETH15M-26AUG300115-15,yes,91.6000,583,91,89,87,KXETH15M,1,92.9000,56
KXXRP15M-26AUG300115-15,yes,92.1000,583,89,87,90,KXXRP15M,0,93.4000,56
KXDOGE15M-26AUG300115-15,yes,96.4000,583,96,95,89,KXDOGE15M,0,97.2000,56
KXBNB15M-26AUG300115-15,yes,93.7000,583,93,90,90,KXBNB15M,0,94.1000,56
KXSOL15M-26AUG300115-15,yes,90.8000,557,89,88,82,KXSOL15M,5952,79.0000,56
KXSOL15M-26AUG300100-00,no,90.0000,592,84,85,69,KXSOL15M,4604,88.0000,56
KXBNB15M-26AUG300100-00,no,90.6000,592,92,90,68,KXBNB15M,19,92.8000,56
KXDOGE15M-26AUG300100-00,no,90.0000,592,88,90,84,KXDOGE15M,2,93.0000,56
KXETH15M-26AUG300100-00,no,88.0000,422,72,85,84,KXETH15M,2427,86.0000,56
KXXRP15M-26AUG300100-00,no,90.0000,386,88,84,86,KXXRP15M,347,90.5000,56
KXBTC15M-26AUG300100-00,yes,90.1000,280,90,59,58,KXBTC15M,0,93.3000,56
KXDOGE15M-26AUG300045-45,no,91.3000,560,86,77,77,KXDOGE15M,62,92.5000,56
KXSOL15M-26AUG300045-45,no,90.0000,538,86,77,78,KXSOL15M,448,90.4000,56
KXETH15M-26AUG300045-45,no,88.0000,519,87,83,71,KXETH15M,1231,89.0000,56
KXXRP15M-26AUG300045-45,no,94.0000,500,89,83,73,KXXRP15M,0,94.1000,56
KXBTC15M-26AUG300045-45,no,91.5000,500,86,81,68,KXBTC15M,18266,91.2000,56
KXBNB15M-26AUG300045-45,no,89.0000,388,83,79,86,KXBNB15M,213,89.0000,56
KXBTC15M-26AUG300030-30,no,89.0000,367,87,78,51,KXBTC15M,105024,89.0000,56
KXBNB15M-26AUG300030-30,no,90.7000,349,87,82,45,KXBNB15M,66,90.9000,56
KXETH15M-26AUG300030-30,no,89.0000,331,89,87,82,KXETH15M,456,92.2000,56
KXDOGE15M-26AUG300030-30,yes,90.7000,166,77,57,53,KXDOGE15M,302,91.3000,56
KXBTC15M-26AUG300015-15,yes,88.0000,535,84,85,76,KXBTC15M,79476,86.0000,56
KXSOL15M-26AUG300015-15,no,90.8000,243,83,74,73,KXSOL15M,403,92.2000,56
KXSOL15M-26AUG300000-00,no,89.0000,501,84,78,68,KXSOL15M,586,90.0000,56
KXETH15M-26AUG300000-00,no,89.0000,358,86,86,78,KXETH15M,694,91.5000,56
KXBTC15M-26AUG300000-00,no,89.0000,319,87,83,84,KXBTC15M,79859,89.0000,56
KXBNB15M-26AUG300000-00,no,88.0000,319,87,84,80,KXBNB15M,1034,73.0000,56
KXXRP15M-26AUG300000-00,no,88.0000,296,85,83,82,KXXRP15M,591,90.3000,56
KXDOGE15M-26AUG300000-00,no,90.0000,255,83,83,84,KXDOGE15M,166,91.2000,56
KXSOL15M-26AUG302345-45,yes,89.0000,300,79,80,69,KXSOL15M,967,88.0000,56
KXBTC15M-26AUG302345-45,yes,92.5000,300,83,80,66,KXBTC15M,117422,84.0000,56
KXBNB15M-26AUG302345-45,yes,91.3000,300,90,87,68,KXBNB15M,134,90.3000,56
KXETH15M-26AUG302345-45,yes,90.0000,259,86,77,81,KXETH15M,1149,89.0000,56
KXXRP15M-26AUG302345-45,yes,88.0000,259,83,79,79,KXXRP15M,650,89.0000,56
KXDOGE15M-26AUG302345-45,yes,91.0000,194,87,74,68,KXDOGE15M,139,92.0000,56
KXETH15M-26AUG302330-30,yes,93.0000,316,91,87,73,KXETH15M,0,95.8000,56
KXBTC15M-26AUG302330-30,yes,89.0000,299,79,72,51,KXBTC15M,391,92.9000,56
KXSOL15M-26AUG302330-30,yes,88.0000,281,77,53,38,KXSOL15M,5485,85.0000,56
KXBNB15M-26AUG302330-30,yes,91.1000,247,82,61,54,KXBNB15M,172,91.5000,56
KXDOGE15M-26AUG302330-30,yes,88.0000,247,86,81,68,KXDOGE15M,271,91.9000,56
KXETH15M-26AUG302315-15,yes,91.9000,324,93,88,86,KXETH15M,0,97.2000,56
KXSOL15M-26AUG302315-15,yes,90.0000,324,84,76,81,KXSOL15M,0,95.0000,56
KXDOGE15M-26AUG302315-15,yes,95.0000,324,96,91,90,KXDOGE15M,0,98.0000,56
KXXRP15M-26AUG302315-15,yes,96.5000,324,96,90,88,KXXRP15M,0,97.4000,56
KXBNB15M-26AUG302315-15,yes,92.3000,324,92,89,90,KXBNB15M,0,97.0000,56
KXBTC15M-26AUG302315-15,yes,91.3000,303,88,81,80,KXBTC15M,0,97.3000,56
KXSOL15M-26AUG302300-00,no,98.0000,352,97,98,95,KXSOL15M,0,97.3000,56
KXETH15M-26AUG302300-00,no,97.4000,352,96,95,93,KXETH15M,0,97.1000,56
KXBNB15M-26AUG302300-00,no,98.2000,352,97,94,90,KXBNB15M,0,98.6000,56
KXBTC15M-26AUG302300-00,no,97.1000,352,96,94,90,KXBTC15M,0,96.9000,56
KXXRP15M-26AUG302300-00,no,95.2000,352,94,93,95,KXXRP15M,0,98.1000,56
KXDOGE15M-26AUG302300-00,no,98.4000,352,97,96,94,KXDOGE15M,0,98.4000,56
KXBTC15M-26AUG302245-45,no,90.1000,311,86,84,82,KXBTC15M,0,93.7000,56
KXETH15M-26AUG302245-45,no,89.0000,276,83,68,74,KXETH15M,5351,84.0000,56
KXBNB15M-26AUG302245-45,no,90.9000,276,87,78,78,KXBNB15M,0,93.5000,56
KXSOL15M-26AUG302245-45,no,92.6000,186,79,82,73,KXSOL15M,0,95.6000,56
KXDOGE15M-26AUG302245-45,no,91.0000,167,77,71,61,KXDOGE15M,0,96.0000,56
KXSOL15M-26AUG302230-30,no,91.6000,387,91,92,90,KXSOL15M,249,90.7000,56
KXBTC15M-26AUG302230-30,no,89.0000,387,89,85,76,KXBTC15M,64570,90.0000,56
KXETH15M-26AUG302230-30,no,96.3000,387,95,93,89,KXETH15M,0,95.4000,56
KXXRP15M-26AUG302230-30,no,92.1000,387,91,91,88,KXXRP15M,6307,87.0000,56
KXBNB15M-26AUG302230-30,no,88.0000,368,84,81,73,KXBNB15M,2063,85.0000,56
KXDOGE15M-26AUG302230-30,no,93.7000,280,88,88,85,KXDOGE15M,202,92.7000,56
KXETH15M-26AUG302215-15,yes,90.0000,412,89,83,74,KXETH15M,7085,80.0000,56
KXBNB15M-26AUG302215-15,yes,88.0000,412,85,70,52,KXBNB15M,3073,75.0000,56
KXSOL15M-26AUG302215-15,yes,92.5000,412,91,80,71,KXSOL15M,888,87.0000,56
KXDOGE15M-26AUG302215-15,yes,93.0000,412,89,83,70,KXDOGE15M,127,90.8000,56
KXXRP15M-26AUG302215-15,yes,88.0000,325,85,87,84,KXXRP15M,1766,90.0000,56
