ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXBNB15M-26SEP040400-00,no,94.9000,384,94,81,80,KXBNB15M,0,95.3000,80
KXDOGE15M-26SEP040400-00,no,92.6000,384,91,77,89,KXDOGE15M,0,93.6000,80
KXXRP15M-26SEP040400-00,no,88.0000,384,73,52,80,KXXRP15M,2263,89.0000,80
KXSOL15M-26SEP040400-00,no,91.8000,293,82,56,42,KXSOL15M,0,94.5000,80
KXBTC15M-26SEP040400-00,no,91.1000,273,91,70,74,KXBTC15M,17845,89.0000,80
KXETH15M-26SEP040400-00,no,90.1000,255,87,70,64,KXETH15M,1860,90.1000,80
KXBNB15M-26SEP040415-15,yes,94.9000,468,72,54,52,KXBNB15M,59,91.8000,80
KXETH15M-26SEP040415-15,yes,88.0000,450,88,75,64,KXETH15M,824,90.3000,80
KXETH15M-26SEP040345-45,no,92.4000,401,94,88,77,KXETH15M,0,95.0000,80
KXSOL15M-26SEP040345-45,no,89.0000,401,89,78,58,KXSOL15M,3272,88.0000,80
KXBNB15M-26SEP040345-45,no,98.7000,401,98,97,96,KXBNB15M,0,97.0000,80
KXXRP15M-26SEP040345-45,no,94.1000,401,93,76,63,KXXRP15M,0,94.8000,80
KXBTC15M-26SEP040345-45,no,90.0000,381,89,77,59,KXBTC15M,22065,90.0000,80
KXSOL15M-26SEP040330-30,no,94.0000,415,91,85,81,KXSOL15M,21,93.0000,80
KXXRP15M-26SEP040330-30,no,95.0000,415,93,89,86,KXXRP15M,0,94.9000,80
KXDOGE15M-26SEP040330-30,no,95.6000,415,91,88,86,KXDOGE15M,0,97.0000,80
KXETH15M-26SEP040330-30,no,91.1000,415,87,71,64,KXETH15M,1977,91.0000,80
KXBNB15M-26SEP040330-30,no,95.6000,415,93,84,69,KXBNB15M,165,90.2000,80
KXBTC15M-26SEP040330-30,no,91.4000,330,88,83,81,KXBTC15M,0,93.8000,80
KXBTC15M-26SEP040315-15,yes,89.0000,449,82,86,86,KXBTC15M,18042,90.7000,80
KXETH15M-26SEP040315-15,yes,95.0000,449,92,93,91,KXETH15M,0,96.2000,80
KXSOL15M-26SEP040315-15,yes,94.3000,449,93,95,93,KXSOL15M,0,97.0000,80
KXBNB15M-26SEP040315-15,yes,91.8000,449,89,92,88,KXBNB15M,0,94.5000,80
KXDOGE15M-26SEP040315-15,yes,91.0000,449,91,90,91,KXDOGE15M,0,95.6000,80
KXXRP15M-26SEP040315-15,yes,93.7000,430,81,90,89,KXXRP15M,0,94.6000,80
KXBTC15M-26SEP040300-00,no,89.0000,460,89,84,78,KXBTC15M,23282,90.0000,80
KXBNB15M-26SEP040300-00,no,95.0000,460,95,90,87,KXBNB15M,0,95.0000,80
KXETH15M-26SEP040300-00,no,89.0000,441,88,82,78,KXETH15M,1536,92.5000,80
KXSOL15M-26SEP040300-00,no,89.0000,441,89,76,72,KXSOL15M,1333,91.8000,80
KXXRP15M-26SEP040300-00,no,88.0000,419,86,79,70,KXXRP15M,5578,80.0000,80
KXBNB15M-26SEP040245-45,no,90.3000,477,61,75,74,KXBNB15M,2078,90.0000,80
KXDOGE15M-26SEP040245-45,yes,90.0000,324,82,43,37,KXDOGE15M,1834,89.0000,80
KXSOL15M-26SEP040245-45,yes,92.5000,306,87,48,52,KXSOL15M,1294,90.7000,80
KXXRP15M-26SEP040245-45,yes,89.0000,272,86,69,30,KXXRP15M,1359,92.4000,80
KXBTC15M-26SEP040245-45,yes,91.0000,198,79,69,58,KXBTC15M,4929,91.5000,80
KXETH15M-26SEP040245-45,yes,92.7000,163,79,63,50,KXETH15M,1052,91.3000,80
KXETH15M-26SEP040230-30,no,89.0000,493,86,78,74,KXETH15M,4355,89.0000,80
KXXRP15M-26SEP040230-30,no,88.0000,493,86,76,74,KXXRP15M,2848,86.0000,80
KXDOGE15M-26SEP040230-30,no,89.0000,493,85,78,73,KXDOGE15M,1464,90.0000,80
KXBNB15M-26SEP040230-30,no,88.0000,493,88,82,72,KXBNB15M,374,92.9000,80
KXSOL15M-26SEP040230-30,no,90.0000,420,79,82,69,KXSOL15M,3419,91.0000,80
KXBTC15M-26SEP040230-30,no,89.0000,364,88,76,78,KXBTC15M,8366,90.0000,80
KXETH15M-26SEP040015-15,no,89.0000,369,80,78,74,KXETH15M,5753,86.0000,80
KXDOGE15M-26SEP040015-15,no,88.0000,350,75,74,72,KXDOGE15M,3578,81.0000,80
KXXRP15M-26SEP040015-15,no,90.0000,350,83,81,75,KXXRP15M,1455,90.0000,80
KXSOL15M-26SEP040015-15,no,91.8000,288,79,74,66,KXSOL15M,1224,91.6000,80
KXSOL15M-26SEP040000-00,no,89.0000,179,80,75,61,KXSOL15M,717,90.0000,80
KXBNB15M-26SEP040000-00,no,88.0000,161,56,60,69,KXBNB15M,764,87.0000,80
