ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXSOL15M-26SEP100300-00,yes,94.9000,276,95,95,95,KXSOL15M,0,96.2000,56
KXBTC15M-26SEP100300-00,yes,93.7000,276,93,92,92,KXBTC15M,0,98.8000,56
KXETH15M-26SEP100300-00,yes,95.8000,276,95,96,95,KXETH15M,0,96.1000,56
KXDOGE15M-26SEP100300-00,yes,96.6000,276,96,94,93,KXDOGE15M,0,96.2000,56
KXBNB15M-26SEP100300-00,yes,98.5000,276,98,97,97,KXBNB15M,0,99.1000,56
KXXRP15M-26SEP100300-00,yes,94.2000,276,92,91,92,KXXRP15M,0,93.9000,56
KXSOL15M-26SEP100245-45,yes,88.0000,298,70,62,51,KXSOL15M,17,93.0000,56
KXXRP15M-26SEP100245-45,yes,92.0000,298,84,76,68,KXXRP15M,0,94.0000,56
KXDOGE15M-26SEP100245-45,yes,89.0000,298,75,62,54,KXDOGE15M,0,93.5000,56
KXETH15M-26SEP100245-45,yes,93.0000,279,87,59,57,KXETH15M,111,91.7000,56
KXBNB15M-26SEP100245-45,yes,92.9000,261,88,53,67,KXBNB15M,27,93.0000,56
KXXRP15M-26SEP100230-30,no,88.0000,313,88,82,77,KXXRP15M,214,90.1000,56
KXBNB15M-26SEP100230-30,no,94.2000,313,94,91,89,KXBNB15M,474,92.6000,56
KXETH15M-26SEP100230-30,no,89.0000,313,87,78,70,KXETH15M,2351,89.0000,56
KXSOL15M-26SEP100230-30,no,92.1000,313,93,90,89,KXSOL15M,11,92.4000,56
KXBTC15M-26SEP100230-30,no,93.5000,295,92,86,80,KXBTC15M,4876,90.4000,56
KXETH15M-26SEP100215-15,no,92.0000,331,90,90,87,KXETH15M,55,92.1000,56
KXSOL15M-26SEP100215-15,no,96.4000,331,96,95,88,KXSOL15M,0,97.5000,56
KXXRP15M-26SEP100215-15,no,92.5000,331,92,89,87,KXXRP15M,39,92.7000,56
KXBNB15M-26SEP100215-15,no,98.0000,331,96,96,95,KXBNB15M,0,98.0000,56
KXDOGE15M-26SEP100215-15,no,97.7000,331,96,96,92,KXDOGE15M,0,97.2000,56
KXBTC15M-26SEP100215-15,no,91.8000,293,84,87,73,KXBTC15M,0,94.4000,56
KXETH15M-26SEP100200-00,yes,88.0000,351,79,54,58,KXETH15M,3361,89.0000,56
KXBNB15M-26SEP100200-00,yes,90.7000,225,86,58,53,KXBNB15M,1852,89.0000,56
