ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXSOL15M-26SEP052345-45,yes,93.6000,540,83,85,79,KXSOL15M,0,93.3000,56
KXDOGE15M-26SEP052345-45,yes,90.5000,540,84,84,73,KXDOGE15M,0,96.0000,56
KXXRP15M-26SEP052345-45,yes,89.0000,506,88,80,82,KXXRP15M,2186,89.0000,56
KXETH15M-26SEP052345-45,yes,92.8000,430,87,85,72,KXETH15M,0,95.2000,56
KXBNB15M-26SEP052345-45,yes,94.6000,395,93,71,80,KXBNB15M,0,97.4000,56
KXBTC15M-26SEP052345-45,yes,90.0000,378,89,83,82,KXBTC15M,16839,90.0000,56
KXSOL15M-26SEP052330-30,yes,89.0000,595,85,73,58,KXSOL15M,2636,89.0000,56
KXBNB15M-26SEP052330-30,no,91.9000,249,85,79,77,KXBNB15M,0,94.9000,56
KXETH15M-26SEP052330-30,no,88.0000,232,53,56,70,KXETH15M,254,90.0000,56
KXDOGE15M-26SEP052330-30,no,96.7000,179,84,45,43,KXDOGE15M,0,97.8000,56
KXXRP15M-26SEP052330-30,no,93.1000,161,88,44,64,KXXRP15M,15,92.6000,56
KXDOGE15M-26SEP052315-15,no,94.9000,320,88,82,80,KXDOGE15M,0,93.3000,56
KXBNB15M-26SEP052315-15,yes,91.3000,160,88,72,83,KXBNB15M,0,96.0000,56
KXBNB15M-26SEP052300-00,yes,89.0000,275,89,75,55,KXBNB15M,52,90.0000,56
KXDOGE15M-26SEP052300-00,yes,90.1000,173,82,77,87,KXDOGE15M,205,91.7000,56
KXSOL15M-26SEP052300-00,yes,88.0000,152,87,58,70,KXSOL15M,4824,84.0000,56
KXBNB15M-26SEP052245-45,yes,91.0000,583,89,88,77,KXBNB15M,74,90.9000,56
KXSOL15M-26SEP052245-45,yes,88.0000,353,71,69,67,KXSOL15M,3078,87.0000,56
KXXRP15M-26SEP052245-45,yes,91.1000,301,79,63,69,KXXRP15M,85,91.4000,56
KXDOGE15M-26SEP052245-45,yes,94.7000,246,86,76,60,KXDOGE15M,0,94.0000,56
KXETH15M-26SEP052230-30,no,88.0000,563,84,79,76,KXETH15M,1300,90.0000,56
KXBNB15M-26SEP052230-30,no,89.0000,494,85,85,80,KXBNB15M,2091,86.0000,56
KXXRP15M-26SEP052230-30,no,88.0000,436,86,81,77,KXXRP15M,2224,88.0000,56
KXBTC15M-26SEP052230-30,no,88.0000,384,89,84,78,KXBTC15M,24745,89.0000,56
KXDOGE15M-26SEP052230-30,no,89.0000,196,79,71,75,KXDOGE15M,584,90.2000,56
KXSOL15M-26SEP052230-30,no,91.9000,161,67,63,70,KXSOL15M,4947,84.0000,56
KXSOL15M-26SEP052200-00,yes,98.5000,154,98,98,93,KXSOL15M,0,99.8000,56
KXXRP15M-26SEP052200-00,yes,95.0000,153,95,91,80,KXXRP15M,0,96.5000,56
KXBNB15M-26SEP052200-00,no,93.3000,153,92,85,90,KXBNB15M,0,96.8000,56
KXBNB15M-26SEP052215-15,no,91.7000,583,90,78,75,KXBNB15M,230,91.8000,56
KXXRP15M-26SEP052215-15,yes,88.0000,339,89,80,67,KXXRP15M,1678,89.0000,56
KXDOGE15M-26SEP052215-15,yes,89.0000,318,85,79,68,KXDOGE15M,2050,89.0000,56
KXSOL15M-26SEP052215-15,yes,90.9000,318,86,79,77,KXSOL15M,4,92.9000,56
KXETH15M-26SEP052215-15,yes,88.0000,183,81,81,76,KXETH15M,10197,78.0000,56
KXBTC15M-26SEP052145-45,yes,96.2000,176,96,94,86,KXBTC15M,17444,89.0000,56
KXDOGE15M-26SEP052145-45,yes,98.9000,176,98,97,92,KXDOGE15M,0,98.1000,56
KXBNB15M-26SEP052145-45,yes,97.8000,176,97,96,77,KXBNB15M,0,96.7000,56
KXDOGE15M-26SEP052200-00,yes,89.0000,480,73,72,59,KXDOGE15M,294,90.0000,56
KXETH15M-26SEP052200-00,yes,89.0000,374,88,82,55,KXETH15M,315,92.0000,56
