ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXBTC15M-26AUG231915-15,no,88.0000,538,87,85,76,KXBTC15M,28866,90.0000,60
KXSOL15M-26AUG231915-15,no,91.1000,478,71,69,79,KXSOL15M,250,87.0000,60
KXETH15M-26AUG231915-15,no,93.4000,478,84,81,88,KXETH15M,1869,90.0000,60
KXBNB15M-26AUG231915-15,no,95.5000,478,82,81,84,KXBNB15M,0,94.1000,60
KXDOGE15M-26AUG231915-15,no,89.0000,478,59,50,70,KXDOGE15M,5595,82.0000,60
KXXRP15M-26AUG231915-15,no,90.0000,178,75,59,66,KXXRP15M,0,95.0000,60
KXETH15M-26AUG231900-00,no,95.6000,178,83,73,58,KXETH15M,0,97.8000,60
KXBTC15M-26AUG231845-45,no,88.0000,178,71,48,70,KXBTC15M,54823,82.0000,60
KXSOL15M-26AUG231830-30,yes,88.0000,358,86,66,69,KXSOL15M,130,91.7000,60
KXBTC15M-26AUG231830-30,yes,89.0000,358,72,64,66,KXBTC15M,20846,90.0000,60
KXETH15M-26AUG231815-15,no,88.0000,418,87,84,83,KXETH15M,3870,85.0000,60
KXDOGE15M-26AUG231815-15,no,93.6000,178,90,88,85,KXDOGE15M,0,93.8000,60
KXBTC15M-26AUG231800-00,yes,92.3000,538,90,85,72,KXBTC15M,14608,91.9000,60
KXSOL15M-26AUG231800-00,yes,88.0000,418,93,85,81,KXSOL15M,3205,90.1000,60
KXBNB15M-26AUG231800-00,yes,89.0000,418,91,86,80,KXBNB15M,261,87.0000,60
KXXRP15M-26AUG231800-00,yes,90.2000,418,88,86,81,KXXRP15M,4061,83.0000,60
KXETH15M-26AUG231800-00,yes,95.5000,418,95,89,83,KXETH15M,0,96.2000,60
KXDOGE15M-26AUG231800-00,yes,93.8000,358,79,88,76,KXDOGE15M,0,95.4000,60
KXDOGE15M-26AUG231745-45,no,93.6000,538,80,45,51,KXDOGE15M,0,95.3000,60
KXSOL15M-26AUG231745-45,no,91.6000,538,66,26,49,KXSOL15M,0,93.5000,60
KXBNB15M-26AUG231745-45,no,88.0000,478,92,51,31,KXBNB15M,98,89.0000,60
KXBTC15M-26AUG231745-45,no,89.0000,478,90,72,51,KXBTC15M,9342,90.7000,60
KXXRP15M-26AUG231745-45,no,89.0000,358,85,74,90,KXXRP15M,322,91.2000,60
KXETH15M-26AUG231745-45,no,90.1000,358,88,70,90,KXETH15M,0,93.1000,60
KXETH15M-26AUG231730-30,yes,90.1000,538,92,91,82,KXETH15M,5,93.0000,60
KXBTC15M-26AUG231730-30,yes,96.0000,538,94,94,88,KXBTC15M,0,96.8000,60
KXSOL15M-26AUG231730-30,yes,92.8000,538,93,91,87,KXSOL15M,0,95.1000,60
KXXRP15M-26AUG231730-30,yes,94.6000,538,87,88,82,KXXRP15M,0,94.6000,60
KXBNB15M-26AUG231730-30,yes,93.1000,538,87,83,79,KXBNB15M,0,95.0000,60
KXDOGE15M-26AUG231730-30,yes,91.9000,478,90,87,84,KXDOGE15M,38,92.2000,60
KXBTC15M-26AUG231715-15,yes,92.7000,598,91,88,88,KXBTC15M,0,94.2000,60
KXETH15M-26AUG231715-15,yes,90.0000,598,90,86,85,KXETH15M,73,92.8000,60
KXXRP15M-26AUG231715-15,yes,92.4000,538,95,91,88,KXXRP15M,0,95.4000,60
