series,ticker,side,ask,secs_left,prior_asks,accel,won,profit
KXBTC15M,KXBTC15M-26JUN301745-45,yes,95,180,"84,90,84",False,True,2.2
KXBTC15M,KXBTC15M-26JUN301630-30,no,94,360,"92,94,96",True,True,2.67
KXBTC15M,KXBTC15M-26JUN301545-45,yes,90,360,"88,88,88",True,True,4.65
KXBTC15M,KXBTC15M-26JUN301500-00,yes,93,540,"82,89,91",True,True,3.15
KXBTC15M,KXBTC15M-26JUN301015-15,yes,93,480,"89,87,88",False,True,3.15
KXBTC15M,KXBTC15M-26JUN301000-00,yes,90,180,"88,87,89",False,True,4.65
KXBTC15M,KXBTC15M-26JUN300900-00,no,95,420,"92,97,97",True,True,2.2
KXBTC15M,KXBTC15M-26JUN300815-15,no,92,540,"80,89,90",True,True,3.64
KXBTC15M,KXBTC15M-26JUN300730-30,no,95,420,"88,82,89",False,True,2.2
KXBTC15M,KXBTC15M-26JUN300645-45,no,92,300,"89,88,89",False,True,3.64
KXBTC15M,KXBTC15M-26JUN300215-15,no,93,420,"82,88,90",True,True,3.15
KXBTC15M,KXBTC15M-26JUN300045-45,yes,93,600,"81,85,90",True,True,3.15
KXBTC15M,KXBTC15M-26JUN300015-15,no,95,480,"83,87,84",False,True,2.2
KXBTC15M,KXBTC15M-26JUN300000-00,no,94,420,"84,86,86",True,True,2.67
KXBTC15M,KXBTC15M-26JUN292345-45,no,91,600,"81,83,88",True,True,4.14
KXBTC15M,KXBTC15M-26JUN292330-30,yes,93,540,"84,91,93",True,False,-45
KXBTC15M,KXBTC15M-26JUN292315-15,no,93,180,"96,89,90",False,True,3.15
KXBTC15M,KXBTC15M-26JUN292215-15,no,91,420,"90,87,89",False,True,4.14
KXBTC15M,KXBTC15M-26JUN292200-00,yes,93,420,"90,86,86",False,True,3.15
KXBTC15M,KXBTC15M-26JUN292130-30,yes,94,480,"92,95,96",True,True,2.67
KXBTC15M,KXBTC15M-26JUN291945-45,yes,92,180,"90,91,84",False,True,3.64
KXBTC15M,KXBTC15M-26JUN291845-45,no,92,420,"80,90,90",True,True,3.64
KXBTC15M,KXBTC15M-26JUN291815-15,no,91,240,"88,87,82",False,True,4.14
KXBTC15M,KXBTC15M-26JUN291745-45,yes,95,480,"88,87,88",False,True,2.2
KXBTC15M,KXBTC15M-26JUN291730-30,no,90,480,"87,90,85",False,True,4.65
