series,ticker,side,ask,bucket,secs_left,prior_stuck,won,profit
KXETH15M,KXETH15M-26JUN250030-30,yes,82,80-85c,420,"38,43,39,65",True,9.19
KXETH15M,KXETH15M-26JUN250015-15,no,73,70-74c,540,"49,56,62,64",True,15.48
KXETH15M,KXETH15M-26JUN242330-30,yes,75,75-79c,600,"48,60,65,61",True,13.95
KXETH15M,KXETH15M-26JUN242315-15,yes,82,80-85c,360,"52,43,49,54",False,-45
KXETH15M,KXETH15M-26JUN242200-00,yes,76,75-79c,600,"48,41,55,55",True,13.22
KXETH15M,KXETH15M-26JUN242045-45,yes,69,65-69c,480,"47,50,58,49",False,-45
KXETH15M,KXETH15M-26JUN242015-15,yes,78,75-79c,600,"52,55,58,56",True,11.8
KXETH15M,KXETH15M-26JUN241945-45,yes,73,70-74c,600,"46,58,62,58",True,15.48
KXETH15M,KXETH15M-26JUN241930-30,no,68,65-69c,600,"45,43,43,52",False,-45
KXETH15M,KXETH15M-26JUN241800-00,no,75,75-79c,360,"52,62,62,63",False,-45
KXETH15M,KXETH15M-26JUN241730-30,yes,74,70-74c,540,"53,46,59,61",True,14.7
KXETH15M,KXETH15M-26JUN241600-00,yes,76,75-79c,540,"54,51,54,62",True,13.22
KXETH15M,KXETH15M-26JUN241545-45,yes,72,70-74c,600,"46,37,45,38",True,16.27
KXETH15M,KXETH15M-26JUN241530-30,yes,71,70-74c,360,"56,54,48,55",True,17.09
KXETH15M,KXETH15M-26JUN241445-45,no,74,70-74c,480,"50,60,56,55",True,14.7
KXETH15M,KXETH15M-26JUN241415-15,yes,79,75-79c,480,"52,55,59,59",True,11.12
KXETH15M,KXETH15M-26JUN241030-30,no,65,65-69c,540,"49,51,56,64",False,-45
KXETH15M,KXETH15M-26JUN241030-30,yes,70,70-74c,420,"46,37,36,60",True,17.94
KXETH15M,KXETH15M-26JUN241015-15,yes,75,75-79c,420,"43,41,61,45",False,-45
KXETH15M,KXETH15M-26JUN240830-30,no,73,70-74c,360,"51,63,50,62",True,15.48
KXETH15M,KXETH15M-26JUN240715-15,no,84,80-85c,540,"39,60,45,60",True,7.97
KXETH15M,KXETH15M-26JUN240630-30,no,85,80-85c,600,"46,62,44,38",True,7.39
KXETH15M,KXETH15M-26JUN240500-00,no,68,65-69c,600,"53,52,58,56",True,19.69
KXETH15M,KXETH15M-26JUN240400-00,yes,79,75-79c,300,"54,44,60,40",True,11.12
KXETH15M,KXETH15M-26JUN240300-00,no,67,65-69c,600,"65,47,64,60",True,20.61
KXETH15M,KXETH15M-26JUN240245-45,yes,67,65-69c,600,"54,49,50,65",False,-45
KXETH15M,KXETH15M-26JUN240230-30,no,65,65-69c,540,"61,45,65,53",False,-45
KXETH15M,KXETH15M-26JUN240230-30,yes,70,70-74c,300,"36,35,57,64",True,17.94
KXETH15M,KXETH15M-26JUN240200-00,no,69,65-69c,600,"60,51,48,46",True,18.8
KXETH15M,KXETH15M-26JUN240000-00,yes,78,75-79c,480,"48,58,51,51",False,-45
KXETH15M,KXETH15M-26JUN232315-15,no,77,75-79c,480,"51,53,53,62",True,12.5
KXETH15M,KXETH15M-26JUN232245-45,no,72,70-74c,600,"49,45,63,58",False,-45
KXETH15M,KXETH15M-26JUN232045-45,yes,65,65-69c,600,"57,49,41,37",True,22.53
KXETH15M,KXETH15M-26JUN231900-00,yes,71,70-74c,540,"62,64,58,51",True,17.09
KXETH15M,KXETH15M-26JUN231745-45,yes,67,65-69c,480,"57,60,52,52",True,20.61
KXETH15M,KXETH15M-26JUN231730-30,yes,82,80-85c,420,"52,49,47,58",True,9.19
KXETH15M,KXETH15M-26JUN231715-15,yes,78,75-79c,600,"53,54,48,60",True,11.8
KXETH15M,KXETH15M-26JUN231600-00,yes,66,65-69c,420,"39,47,62,62",True,21.56
KXETH15M,KXETH15M-26JUN231545-45,no,70,70-74c,420,"55,53,40,56",True,17.94
KXETH15M,KXETH15M-26JUN231400-00,no,77,75-79c,420,"53,63,58,62",True,12.5
KXETH15M,KXETH15M-26JUN231045-45,yes,66,65-69c,600,"65,46,42,65",True,21.56
KXETH15M,KXETH15M-26JUN230900-00,no,72,70-74c,540,"64,48,52,60",True,16.27
KXETH15M,KXETH15M-26JUN230815-15,no,71,70-74c,480,"41,52,63,57",True,17.09
KXETH15M,KXETH15M-26JUN230730-30,yes,74,70-74c,600,"61,64,49,53",True,14.7
KXETH15M,KXETH15M-26JUN230530-30,yes,71,70-74c,540,"57,56,45,45",True,17.09
KXETH15M,KXETH15M-26JUN230415-15,no,81,80-85c,600,"44,50,58,49",True,9.82
KXETH15M,KXETH15M-26JUN230400-00,no,65,65-69c,480,"49,39,40,47",True,22.53
KXETH15M,KXETH15M-26JUN230315-15,yes,73,70-74c,420,"58,57,55,59",True,15.48
KXETH15M,KXETH15M-26JUN230300-00,yes,69,65-69c,540,"62,61,53,51",True,18.8
KXETH15M,KXETH15M-26JUN230215-15,no,74,70-74c,600,"65,60,46,60",True,14.7
KXETH15M,KXETH15M-26JUN230200-00,no,69,65-69c,300,"41,42,40,58",True,18.8
KXETH15M,KXETH15M-26JUN230145-45,yes,73,70-74c,480,"49,53,48,52",True,15.48
KXETH15M,KXETH15M-26JUN222215-15,no,70,70-74c,540,"61,58,65,52",True,17.94
KXETH15M,KXETH15M-26JUN222130-30,yes,81,80-85c,480,"59,53,49,52",True,9.82
KXETH15M,KXETH15M-26JUN222015-15,no,78,75-79c,480,"64,65,59,58",True,11.8
KXETH15M,KXETH15M-26JUN222000-00,no,68,65-69c,540,"40,56,60,56",False,-45
KXETH15M,KXETH15M-26JUN221915-15,yes,72,70-74c,600,"49,55,63,57",True,16.27
