series,ticker,side,ask,hour_utc,secs_left,won,profit
KXBTC15M,KXBTC15M-26AUG011130-30,no,95,15,420,True,2.2
KXBTC15M,KXBTC15M-26JUL311345-45,yes,95,17,360,True,2.2
KXBTC15M,KXBTC15M-26JUL311315-15,no,90,17,300,False,-45
KXBTC15M,KXBTC15M-26JUL311245-45,no,95,16,360,True,2.2
KXBTC15M,KXBTC15M-26JUL301345-45,no,94,17,240,False,-45
KXBTC15M,KXBTC15M-26JUL301330-30,yes,95,17,420,True,2.2
KXBTC15M,KXBTC15M-26JUL301300-00,yes,95,17,300,True,2.2
KXBTC15M,KXBTC15M-26JUL301230-30,no,90,16,240,True,4.65
KXBTC15M,KXBTC15M-26JUL301215-15,yes,94,16,480,True,2.67
KXBTC15M,KXBTC15M-26JUL301200-00,no,94,16,240,True,2.67
KXBTC15M,KXBTC15M-26JUL301130-30,yes,90,15,360,False,-45
KXBTC15M,KXBTC15M-26JUL291100-00,yes,91,15,240,True,4.14
KXBTC15M,KXBTC15M-26JUL281215-15,no,92,16,300,True,3.64
KXBTC15M,KXBTC15M-26JUL281100-00,yes,93,15,360,True,3.15
KXBTC15M,KXBTC15M-26JUL271315-15,no,94,17,180,True,2.67
KXBTC15M,KXBTC15M-26JUL271145-45,no,92,15,180,True,3.64
KXBTC15M,KXBTC15M-26JUL261330-30,no,93,17,240,True,3.15
KXBTC15M,KXBTC15M-26JUL261315-15,no,90,17,240,False,-45
KXBTC15M,KXBTC15M-26JUL261300-00,no,95,17,360,True,2.2
KXBTC15M,KXBTC15M-26JUL261245-45,yes,90,16,540,True,4.65
KXBTC15M,KXBTC15M-26JUL261230-30,yes,91,16,360,True,4.14
KXBTC15M,KXBTC15M-26JUL261215-15,no,95,16,360,True,2.2
KXBTC15M,KXBTC15M-26JUL261200-00,no,91,16,300,True,4.14
KXBTC15M,KXBTC15M-26JUL261130-30,yes,91,15,600,True,4.14
KXBTC15M,KXBTC15M-26JUL261115-15,no,95,15,180,True,2.2
KXBTC15M,KXBTC15M-26JUL251245-45,yes,94,16,360,True,2.67
KXBTC15M,KXBTC15M-26JUL241330-30,yes,95,17,480,True,2.2
KXBTC15M,KXBTC15M-26JUL241245-45,no,94,16,360,True,2.67
KXBTC15M,KXBTC15M-26JUL231230-30,no,90,16,480,True,4.65
KXBTC15M,KXBTC15M-26JUL231215-15,no,94,16,540,True,2.67
